,gtfs_agency_name,gtfs_stop_id,gtfs_stop_lat,gtfs_stop_lon,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_lon,osm_lat,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
1042,STAVO,StopPoint:50:8165,48.801871,2.08849,044044001:44,5894,Valibout,INRA,StopPoint:Node:5331168578,2.0858236999999997,48.801839099999995,044044001:44,5894,Valibout (Plaisir),INRA,195.9028086605435
1045,STAVO,StopPoint:50:8175,48.803435,2.106116,044044001:44,4151,Valibout,Matelots,StopPoint:Node:3444487354,2.1047985,48.803494099999995,044044001:44,4151,Valibout (Plaisir),Les Matelots,97.0054691404115
1047,STAVO,StopPoint:50:7670,48.800319,2.064837,044044007:7,415372,Lycée Franco-Allemand,Mairie de Saint-Cyr-l'Ecole,StopPoint:Node:156492856,2.0664718,48.7999344,044044007:7,415372,Lycée Franco-Allemand (Buc),Mairie,127.48750072333928
1211,Trans Val d'Oise,StopPoint:11:183,48.962234,2.455602,050050023:23,14661,Gare d'Aulnay-sous-Bois,ZAC Les Tulipes Sud,StopPoint:Node:1569531733,2.4567460999999997,48.9633226,050050023:23,14661,Gare d'Aulnay-sous-Bois,ZAC Les Tulipes Sud,147.2237400587316
1217,Trans Val d'Oise,StopPoint:11:205,48.967538,2.462493,050050023:23,22276,Gare d'Aulnay-sous-Bois,ZAC Les Tulipes Nord,StopPoint:Node:5246624249,2.4613986,48.9666329,050050023:23,22276,Gare d'Aulnay-sous-Bois,ZAC les Tulipes Nord,128.65703445750833
1269,Trans Val d'Oise,StopPoint:11:54,48.994352,2.423446,050050023:23,14560,Centre Commercial O'Parinor,Aubépines,StopPoint:Node:5246309040,2.4241637,48.9938553,050050023:23,14560,Centre Commercial O'Parinor,Aubépines,76.22161558820781
1273,Trans Val d'Oise,StopPoint:11:54,48.994352,2.423446,050050023:23,14560,Gare d'Aulnay-sous-Bois,Aubépines,StopPoint:Node:5246309040,2.4241637,48.9938553,050050023:23,14560,Gare d'Aulnay-sous-Bois,Aubépines,76.22161558820781
1331,Trans Val d'Oise,StopPoint:11:54,48.994352,2.423446,050050025:25,14560,Zone Industrielle,Aubépines,StopPoint:Node:5246309040,2.4241637,48.9938553,050050025:25,14560,Zone Industrielle,Aubépines,76.22161558820781
1363,Pep's,StopPoint:9:606,48.860456,2.736104,051051002:02,23561,GARE DE VAL D'EUROPE,L'OREE DU BOIS,StopPoint:Node:4610103967,2.7370921999999998,48.860759099999996,051051002:02,23561,Val d'Europe,L'Orée du Bois,79.96150492685648
1371,Pep's,StopPoint:9:866,48.852948,2.73986,051051002:02,15384,GARE DE VAL D'EUROPE,TERRES FORTES,StopPoint:Node:2299891685,2.738302,48.852750099999994,051051002:02,15384,Val d'Europe,Terres Fortes,116.43590718804077
1660,Pep's,StopPoint:9:1214,48.870526,2.707245,051051021:21,15510,GARE DE LAGNY THORIGNY,PEDUZZI,StopPoint:Node:796509635,2.708199,48.869675,051051021:21,15510,Gare de Lagny,Peduzzi,117.70489003866962
1680,Pep's,StopPoint:9:1737,48.83897,2.654381,051051021:21,417794,GARE DE LAGNY THORIGNY,TORCY RER L 21,StopPoint:Node:4136423192,2.6555869,48.8384682,051051021:21,417794,Gare de Lagny,Torcy RER,104.64342243339102
1753,Pep's,StopPoint:9:606,48.860456,2.736104,051051022:22,23561,GARE DE VAL D'EUROPE,L'OREE DU BOIS,StopPoint:Node:4610103967,2.7370921999999998,48.860759099999996,051051022:22,23561,Val d'Europe,L'Orée du Bois,79.96150492685648
1778,Pep's,StopPoint:9:1272,48.87765,2.727707,051051023:23,15543,GARE DE LAGNY THORIGNY,COTEAUX RD934,StopPoint:Node:4328379451,2.7265343,48.8776442,051051023:23,15543,Gare de Lagny,Coteaux RD934,86.020967298461
