,gtfs_agency_name,gtfs_stop_id,gtfs_stop_lat,gtfs_stop_lon,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_lon,osm_lat,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
6564,RATP,StopPoint:59:3893415,48.86072,2.321186,100100063:63,29816,PORTE DE LA MUETTE,LILLE - UNIVERSITE,StopPoint:Node:2042462209,2.321907,48.8599782,100100063:63,29816,Porte de la Muette,Lille - Université,98.00005855074083
6916,RATP,StopPoint:59:3687108,48.859306,2.305795,100100069:69,26302,GAMBETTA,SAINT-PIERRE DU GROS CAILLOU,StopPoint:Node:3934026757,2.3071254,48.859591699999996,100100069:69,26302,Gambetta,Saint-Pierre du Gros Caillou,102.66149530429627
7068,RATP,StopPoint:59:5121356,48.847043,2.273597,100100072:72,8443,HOTEL DE VILLE,PONT MIRABEAU,StopPoint:Node:1827357920,2.2741123,48.8476843,100100072:72,8443,Hôtel de Ville,Pont Mirabeau,80.72479245392317
7160,RATP,StopPoint:59:4016737,48.891255,2.238406,100100073:73,10279,LA GARENNE-COLOMBES - CHARLEBOURG,LA DEFENSE-METRO-RER-TRAMWAY,StopPoint:Node:4897619879,2.2398438,48.890660399999994,100100073:73,10279,La Garenne-Colombes - Charlebourg,La Défense,124.45527094454661
7184,RATP,StopPoint:59:4022913,48.885267,2.258246,100100073:73,7757,MUSEE D'ORSAY,PONT DE NEUILLY-METRO,StopPoint:Node:605154896,2.2592982999999998,48.884838699999996,100100073:73,7757,Musée d'Orsay,Pont de Neuilly,90.69026458655793
7186,RATP,StopPoint:59:4022920,48.892074,2.239045,100100073:73,24262,MUSEE D'ORSAY,LA DEFENSE-METRO-RER-TRAMWAY.,StopPoint:Node:4881244390,2.2412617,48.890159399999995,100100073:73,24262,Musée d'Orsay,La Défense,267.87621167106045
7188,RATP,StopPoint:59:4022921,48.894968,2.239299,100100073:73,413000,LA GARENNE-COLOMBES - CHARLEBOURG,CARON,StopPoint:Node:4896802215,2.2406034999999997,48.8949923,100100073:73,413000,La Garenne-Colombes - Charlebourg,Caron,95.69129269510006
7196,RATP,StopPoint:59:4022929,48.899207,2.235788,100100073:73,23719,MUSEE D'ORSAY,PUVIS DE CHAVANNES,StopPoint:Node:4341202911,2.2369635999999997,48.8994666,100100073:73,23719,Musée d'Orsay,Puvis de Chavannes,90.90023311019247
7240,RATP,StopPoint:59:7275326,48.887115,2.25376,100100073:73,24256,LA GARENNE-COLOMBES - CHARLEBOURG,PONT DE NEUILLY - RIVE GAUCHE,StopPoint:Node:4894277307,2.2519532,48.8879455,100100073:73,24256,La Garenne-Colombes - Charlebourg,Pont de Neuilly - Rive Gauche,161.51577253969967
7306,RATP,StopPoint:59:4016293,48.891322,2.318669,100100074:74,24603,PLACE DE CLICHY,BROCHANT - CARDINET,StopPoint:Node:596079812,2.3179000999999997,48.891836,100100074:74,24603,Place de Clichy,Brochant - Cardinet,80.2899897227882
7309,RATP,StopPoint:59:4016293,48.891322,2.318669,100100074:74,24603,HOTEL DE VILLE,BROCHANT - CARDINET,StopPoint:Node:596079812,2.3179000999999997,48.891836,100100074:74,24603,Hôtel de Ville,Brochant - Cardinet,80.2899897227882
7313,RATP,StopPoint:59:4016294,48.89284,2.316447,100100074:74,30007,CLICHY - BERGES DE SEINE,BOULAY,StopPoint:Node:596069422,2.3150919,48.8936074,100100074:74,30007,Clichy-la-Garenne – Berges de Seine,Boulay,130.98405582939216
7314,RATP,StopPoint:59:4016294,48.89284,2.316447,100100074:74,30007,CLICHY - BERGES DE SEINE,BOULAY,StopPoint:Node:596069422,2.3150919,48.8936074,100100074:74,30007,Clichy-la-Garenne – Berges de Seine,Boulay,130.98405582939216
7390,RATP,StopPoint:59:4472777,48.895167,2.31248,100100074:74,2127,CLICHY - BERGES DE SEINE,PORTE DE CLICHY,StopPoint:Node:2700151127,2.3114404,48.895598799999995,100100074:74,2127,Clichy-la-Garenne – Berges de Seine,Porte de Clichy,90.09255765488683
7391,RATP,StopPoint:59:4472777,48.895167,2.31248,100100074:74,2127,CLICHY - BERGES DE SEINE,PORTE DE CLICHY,StopPoint:Node:2700151127,2.3114404,48.895598799999995,100100074:74,2127,Clichy-la-Garenne – Berges de Seine,Porte de Clichy,90.09255765488683
7495,RATP,StopPoint:59:3687278,48.863741,2.41669,100100076:76,39492,LOUVRE - RIVOLI,GALLIENI,StopPoint:Node:1711217453,2.4170351,48.8647025,100100076:76,39492,Louvre-Rivoli,Bagnolet – Gallieni,109.88267002192651
7684,RATP,StopPoint:59:3765214,48.858087,2.323666,100100083:83,35141,FRIEDLAND - HAUSSMANN,SOLFERINO - BELLECHASSE,StopPoint:Node:1529824781,2.322926,48.8588911,100100083:83,35141,Friedland - Haussmann,Solférino - Bellechasse,104.61711948955426
7702,RATP,StopPoint:59:3893415,48.86072,2.321186,100100083:83,29816,FRIEDLAND - HAUSSMANN,LILLE - UNIVERSITE,StopPoint:Node:2042462209,2.321907,48.8599782,100100083:83,29816,Friedland - Haussmann,Lille - Université,98.00005855074083
7853,RATP,StopPoint:59:7266068,48.905082,2.337382,100100085:85,37386,LUXEMBOURG,EUGENE LUMEAU - LES ECOLES,StopPoint:Node:2078369949,2.3384758999999997,48.904395,100100085:85,37386,Luxembourg,Eugène Lumeau - Les Écoles,110.76189242135824
7940,RATP,StopPoint:59:3764447,48.838691,2.316741,100100088:88,26609,MONTSOURIS-TOMBE ISSOIRE,MONTPARNASSE 2 - GARE TGV,StopPoint:Node:983637964,2.3219176,48.8375281,100100088:88,26609,Montsouris - Tombe Issoire,Jean Zay–Maine,401.4096340263522
8018,RATP,StopPoint:59:3887789,48.836963,2.306285,100100089:89,23325,PORTE DE FRANCE,ALLERAY,StopPoint:Node:973721596,2.3058614,48.837695,100100089:89,23325,Porte de France,Alleray,87.14051587874647
8086,RATP,StopPoint:59:3764997,48.83888,2.320009,100100091:91,28432,MONTPARNASSE 2 - GARE TGV,PLACE DE CATALOGNE,StopPoint:Node:765952391,2.3189743,48.8378306,100100091:91,28432,Montparnasse 2 - Gare TGV,Place de Catalogne,139.2414656914243
8130,RATP,StopPoint:59:3813124,48.853574,2.31299,100100092:92,37379,PORTE DE CHAMPERRET,VAUBAN - HOTEL DES INVALIDES,StopPoint:Node:5093998836,2.3115612999999997,48.853927399999996,100100092:92,37379,Porte de Champerret,Vauban - Hôtel des Invalides,111.96996314731463
8204,RATP,StopPoint:59:3893415,48.86072,2.321186,100100094:94,29816,LOUISON BOBET,LILLE - UNIVERSITE,StopPoint:Node:2042462209,2.321907,48.8599782,100100094:94,29816,Levallois - Louison Bobet,Lille - Université,98.00005855074083
8252,RATP,StopPoint:59:3926186,48.841855,2.320089,100100095:95,39726,PORTE DE MONTMARTRE,GARE MONTPARNASSE,StopPoint:Node:968070127,2.3210967,48.8420412,100100095:95,39726,Porte de Montmartre,Gare Montparnasse,76.81189658233188
8270,RATP,StopPoint:59:3926229,48.891754,2.334616,100100095:95,24889,PORTE DE VANVES,DAMREMONT - MARCADET,StopPoint:Node:974091280,2.3336335,48.891864899999995,100100095:95,24889,Porte de Vanves,Damrémont - Marcadet,73.09481842255866
8296,RATP,StopPoint:59:3673610,48.874757,2.405725,100100096:96,20004,PORTE DES LILAS,PISCINE DES TOURELLES,StopPoint:Node:2042462285,2.4054302,48.8741352,100100096:96,20004,Porte des Lilas,Piscine des Tourelles,72.45131330328309
8333,RATP,StopPoint:59:4037251,48.841801,2.319844,100100096:96,37568,PORTE DES LILAS,GARE MONTPARNASSE,StopPoint:Node:968108705,2.3208487,48.8419877,100100096:96,37568,Porte des Lilas,Gare Montparnasse,76.61498829461563
8336,RATP,StopPoint:59:4037251,48.841801,2.319844,100100096:96,37568,GARE MONTPARNASSE,GARE MONTPARNASSE,StopPoint:Node:968108705,2.3208487,48.8419877,100100096:96,37568,Gare Montparnasse,Gare Montparnasse,76.61498829461563
8454,RATP,StopPoint:59:5325152,48.831599,2.388106,100100109:109,37735,TERROIRS DE FRANCE,TERROIRS DE FRANCE,StopPoint:Node:1226726083,2.3892211,48.8322621,100100109:109,37735,Terroirs de France,Terroirs de France,110.1821912081563
8457,RATP,StopPoint:59:5325161,48.82725,2.404355,100100109:109,414771,LIBERTE-CHANZY,LIBERTE-CHANZY,StopPoint:Node:3522621284,2.4051937999999997,48.8268768,100100109:109,414771,Liberté - Chanzy,Liberté – Chanzy,74.26711169871807
8458,RATP,StopPoint:59:5325161,48.82725,2.404355,100100109:109,414771,TERROIRS DE FRANCE,LIBERTE-CHANZY,StopPoint:Node:3522621284,2.4051937999999997,48.8268768,100100109:109,414771,Terroirs de France,Liberté – Chanzy,74.26711169871807
8555,RATP,StopPoint:59:5325152,48.831599,2.388106,100100111:111,37735,TERROIRS DE FRANCE,TERROIRS DE FRANCE,StopPoint:Node:1226726083,2.3892211,48.8322621,100100111:111,37735,Terroirs de France,Terroirs de France,110.1821912081563
8891,RATP,StopPoint:59:5161418,48.805768,2.313311,100100128:128,413071,ROBINSON RER,JEAN-MARIN NAUDIN,StopPoint:Node:447882076,2.3138346,48.806387,100100128:128,413071,Robinson RER,Jean-Marin Naudin,78.85260377178001
8905,RATP,StopPoint:59:5161431,48.789405,2.292697,100100128:128,26829,ROBINSON RER,CHATEAU SAINTE-BARBE,StopPoint:Node:447891067,2.2920279,48.7898711,100100128:128,26829,Robinson RER,Château Sainte-Barbe,71.44132231281425
8913,RATP,StopPoint:59:5161445,48.780367,2.281716,100100128:128,40386,ROBINSON RER,ROBINSON RER,StopPoint:Node:3104458731,2.2813706,48.779586699999996,100100128:128,40386,Robinson RER,Robinson RER,90.41042318685643
8916,RATP,StopPoint:59:5161445,48.780367,2.281716,100100128:128,40386,PORTE D'ORLEANS-METRO,ROBINSON RER,StopPoint:Node:3104458731,2.2813706,48.779586699999996,100100128:128,40386,Porte d'Orléans,Robinson RER,90.41042318685643
8996,RATP,StopPoint:59:4843473,48.790478,2.39246,100100132:132,37166,BIBLIOTHEQUE FRANCOIS MITTERRAND,AUDIGEOIS,StopPoint:Node:2074591588,2.3933109,48.7908088,100100132:132,37166,Bibliothèque François Mitterrand,Audigeois,72.54187575909663
9013,RATP,StopPoint:59:4843530,48.808493,2.386342,100100132:132,413082,BIBLIOTHEQUE FRANCOIS MITTERRAND,GYMNASE AUGUSTE DELAUNE,StopPoint:Node:3498726528,2.3868327,48.8078967,100100132:132,413082,Bibliothèque François Mitterrand,Gymnase Auguste Delaune,75.47452521700221
9030,RATP,StopPoint:59:4230051,48.989246,2.375973,100100133:133,38755,LE BOURGET RER,SOUS-PREFECTURE,StopPoint:Node:5335245983,2.3769334,48.988777,100100133:133,38755,Le Bourget RER,Sous Préfecture,87.52722528122811
9031,RATP,StopPoint:59:4230051,48.989246,2.375973,100100133:133,38755,LE BOURGET-RER,SOUS-PREFECTURE,StopPoint:Node:5335245983,2.3769334,48.988777,100100133:133,38755,Le Bourget RER,Sous Préfecture,87.52722528122811
9069,RATP,StopPoint:59:5991326,48.932191,2.395039,100100143:143,24894,LA COURNEUVE - AUBERVILLIERS RER,LE CROULT,StopPoint:Node:5171665641,2.3937911,48.9322533,100100143:143,24894,La Courneuve – Aubervilliers RER,Le Croult,91.69702740848325
9095,RATP,StopPoint:59:5991372,48.885214,2.473373,100100143:143,22710,LA COURNEUVE - AUBERVILLIERS RER,ROSNY 2 - CENTRE COMMERCIAL,StopPoint:Node:5108973247,2.4742371999999997,48.8843688,100100143:143,22710,La Courneuve – Aubervilliers RER,Rosny 2 - Centre Commercial,113.36546782358916
9158,RATP,StopPoint:59:3731661,48.919667,2.450841,100100151:151,37419,PORTE DE PANTIN,PLACE DU 19 MARS 1962,StopPoint:Node:2479291125,2.4517018999999998,48.9200802,100100151:151,37419,Porte de Pantin,Place du 19 Mars 1962,78.05409140006311
9159,RATP,StopPoint:59:3731661,48.919667,2.450841,100100151:151,37419,PORTE DE PANTIN,PLACE DU 19 MARS 1962,StopPoint:Node:2479291125,2.4517018999999998,48.9200802,100100151:151,37419,Porte de Pantin,Place du 19 Mars 1962,78.05409140006311
9160,RATP,StopPoint:59:3731662,48.921039,2.45488,100100151:151,29496,JOUHAUX - BLUM,AUGUSTE BLANQUI,StopPoint:Node:5415401458,2.4538979999999997,48.9209756,100100151:151,29496,Bondy - Jouhaux–Blum,Auguste Blanqui,72.31280591116601
9161,RATP,StopPoint:59:3731662,48.921039,2.45488,100100151:151,29496,JOUHAUX - BLUM,AUGUSTE BLANQUI,StopPoint:Node:5415401458,2.4538979999999997,48.9209756,100100151:151,29496,Bondy - Jouhaux–Blum,Auguste Blanqui,72.31280591116601
9184,RATP,StopPoint:59:3731675,48.918163,2.479078,100100151:151,40062,PORTE DE PANTIN,JOUHAUX - BLUM,StopPoint:Node:5430696597,2.4777549,48.9182746,100100151:151,40062,Porte de Pantin,Jouhaux - Blum,97.76297190146053
9185,RATP,StopPoint:59:3731675,48.918163,2.479078,100100151:151,40062,PORTE DE PANTIN,JOUHAUX - BLUM,StopPoint:Node:5430696597,2.4777549,48.9182746,100100151:151,40062,Porte de Pantin,Jouhaux - Blum,97.76297190146053
9264,RATP,StopPoint:59:4024288,48.885313,2.259772,100100157:157,7760,BOULEVARD DE LA SEINE,PONT DE NEUILLY-METRO,StopPoint:Node:2250942914,2.2585699,48.8855262,100100157:157,7760,Nanterre - Boulevard de la Seine,Pont de Neuilly,91.29386915210902
9265,RATP,StopPoint:59:4024288,48.885313,2.259772,100100157:157,7760,PONT DE NEUILLY-METRO,PONT DE NEUILLY-METRO,StopPoint:Node:2250942914,2.2585699,48.8855262,100100157:157,7760,Pont de Neuilly,Pont de Neuilly,91.29386915210902
9304,RATP,StopPoint:59:4458757,48.80691,2.253766,100100162:162,26833,VILLEJUIF - LOUIS ARAGON,VALLEE DU BOIS,StopPoint:Node:5337339644,2.2549680999999997,48.806570199999996,100100162:162,26833,Villejuif Louis Aragon Métro,Vallée du Bois,96.04551524434241
9316,RATP,StopPoint:59:4458785,48.797384,2.348592,100100162:162,8047,VILLEJUIF - LOUIS ARAGON,BELVEDERE,StopPoint:Node:3647142080,2.3476372999999997,48.797821899999995,100100162:162,8047,Villejuif Louis Aragon Métro,Belvédère,85.38724451565187
9317,RATP,StopPoint:59:4458786,48.796512,2.350592,100100162:162,29835,VILLEJUIF - LOUIS ARAGON,INSTITUT GUSTAVE ROUSSY - HAUTES BRUYERES,StopPoint:Node:1296228607,2.3481932999999997,48.795637899999996,100100162:162,29835,Villejuif Louis Aragon Métro,Institut Gustave Roussy–Hautes Bruyères,201.26286167021752
9324,RATP,StopPoint:59:4458798,48.796611,2.350728,100100162:162,29839,VAL FLEURY RER,INSTITUT GUSTAVE ROUSSY - HAUTES BRUYERES,StopPoint:Node:1296228602,2.3485521,48.7955444,100100162:162,29839,Meudon Val Fleury RER,Institut Gustave Roussy–Hautes Bruyères,199.0606883360772
9361,RATP,StopPoint:59:7275415,48.797097,2.333831,100100162:162,28582,VAL FLEURY RER,COUSIN DE MERICOURT,StopPoint:Node:979833097,2.3332596,48.797711799999995,100100162:162,28582,Meudon Val Fleury RER,Cousin de Méricourt,80.22879105578059
9364,RATP,StopPoint:59:4015721,48.920894,2.27847,100100165:165,20104,PORTE DE CHAMPERRET,JAURES,StopPoint:Node:4347235939,2.2779389,48.921506799999996,100100165:165,20104,Porte de Champerret,Jaurès,78.48049607991568
9384,RATP,StopPoint:59:4677647,48.931058,2.277818,100100165:165,37181,ASNIERES-18 JUIN 1940,ASNIERES-18 JUIN 1940,StopPoint:Node:4322948647,2.2796095,48.9314867,100100165:165,37181,Asnières - 18 juin 1940,Asnières - 18 Juin 1940,139.6569930191355
9385,RATP,StopPoint:59:4677647,48.931058,2.277818,100100165:165,37181,PORTE DE CHAMPERRET,ASNIERES-18 JUIN 1940,StopPoint:Node:4322948647,2.2796095,48.9314867,100100165:165,37181,Porte de Champerret,Asnières - 18 Juin 1940,139.6569930191355
9421,RATP,StopPoint:59:3972547,48.903982,2.391818,100100170:170,22508,GARE DE SAINT-DENIS RER,QUATRE CHEMINS - REPUBLIQUE,StopPoint:Node:5512381144,2.3912571,48.9045572,100100170:170,22508,Saint-Denis RER,Quatre Chemins - République,76.04378136201247
9429,RATP,StopPoint:59:4009047,48.888095,2.403835,100100170:170,24630,GARE DE SAINT-DENIS RER,FRANKLIN,StopPoint:Node:5512381139,2.4036348,48.888728199999996,100100170:170,24630,Saint-Denis RER,Franklin,71.93089637660351
9430,RATP,StopPoint:59:4009047,48.888095,2.403835,100100170:170,24630,GARE DE SAINT-DENIS RER,FRANKLIN,StopPoint:Node:4642250850,2.4017664,48.894021599999995,100100170:170,24630,Saint-Denis RER,Montgolfier,676.3145204691476
9434,RATP,StopPoint:59:4009062,48.9219,2.375049,100100170:170,26494,GARE DE SAINT-DENIS RER,PONT DU CHEMIN DE FER,StopPoint:Node:1455100841,2.376208,48.9214991,100100170:170,26494,Saint-Denis RER,Pont du Chemin de Fer,95.92864699180636
9440,RATP,StopPoint:59:4009069,48.93047,2.35049,100100170:170,41696,GARE DE SAINT-DENIS RER,SQUARE DE GEYTER,StopPoint:Node:2708514757,2.3499795999999997,48.9310365,100100170:170,41696,Saint-Denis RER,Square de Geyter,73.26391743349109
9441,RATP,StopPoint:59:4009070,48.934173,2.347695,100100170:170,26925,GARE DE SAINT-DENIS RER,GARE DE SAINT-DENIS RER,StopPoint:Node:5519167113,2.3471944,48.9347907,100100170:170,26925,Saint-Denis RER,Gare de Saint-Denis - RER,77.87204568989313
9446,RATP,StopPoint:59:4009076,48.925578,2.366964,100100170:170,26504,PORTE DES LILAS,RUE DU PROGRES,StopPoint:Node:1455100864,2.3664856,48.926136299999996,100100170:170,26504,Porte des Lilas,Rue du Progrès,71.30136571739092
9449,RATP,StopPoint:59:4009079,48.918591,2.378524,100100170:170,26496,PORTE DES LILAS,HEURTAULT,StopPoint:Node:1455100854,2.3780270999999997,48.919269,100100170:170,26496,Porte des Lilas,Heurtault,83.73352596027776
9534,RATP,StopPoint:59:4843473,48.790478,2.39246,100100180:180,37166,CHARENTON-ECOLES,AUDIGEOIS,StopPoint:Node:2074591588,2.3933109,48.7908088,100100180:180,37166,Charenton – Écoles,Audigeois,72.54187575909663
9572,RATP,StopPoint:59:7275415,48.797097,2.333831,100100184:184,28582,PASTEUR,COUSIN DE MERICOURT,StopPoint:Node:979833097,2.3332596,48.797711799999995,100100184:184,28582,Fresnes Pasteur,Cousin de Méricourt,80.22879105578059
9637,RATP,StopPoint:59:4889645,48.78841,2.301349,100100188:188,30016,ROSENBERG,RUE DES BRUGNAUTS,StopPoint:Node:3601432412,2.3008512999999997,48.7892022,100100188:188,30016,Bagneux–Rosenberg,Rue des Brugnauts,95.38638754210831
9646,RATP,StopPoint:59:4889656,48.785536,2.31075,100100188:188,22873,PORTE D'ORLEANS,LES BAS COQUARTS,StopPoint:Node:3601432410,2.3115265,48.7861662,100100188:188,22873,Porte d'Orléans,Les Bas Coquarts,90.37378309640702
9944,RATP,StopPoint:59:3764007,48.750256,2.304542,100100197:197,8207,PORTE D'ORLEANS-METRO,PONT D'ANTONY,StopPoint:Node:1606161294,2.304563,48.7512164,100100197:197,8207,Porte d'Orléans,Pont d'Antony,106.81235537914179
9973,RATP,StopPoint:59:7275199,48.772243,2.312687,100100197:197,8208,PORTE D'ORLEANS-METRO,LES COTTAGES,StopPoint:Node:930358508,2.3130105999999997,48.7731414,100100197:197,8208,Porte d'Orléans,Les Cottages,102.69933959868618
10027,RATP,StopPoint:59:3677683,48.844281,2.626376,100100211:211,41551,TORCY RER,LE VERGER,StopPoint:Node:2109872390,2.6277342,48.8437177,100100211:211,41551,Torcy RER,Le Verger,117.73952207705574
10104,RATP,StopPoint:59:5121494,48.944312,2.295089,100100238:238,12421,PONT DE LEVALLOIS - BECON,BASSIN N0 5,StopPoint:Node:766299125,2.2950054,48.9436526,100100238:238,12421,Pont de Levallois,Bassin n°5,73.58625471971415
10163,RATP,StopPoint:59:7260959,48.927021,2.379935,100100253:253,26578,LA COURNEUVE - AUBERVILLIERS RER,LANGEVIN - WALLON,StopPoint:Node:5171665635,2.3836496,48.925293499999995,100100253:253,26578,La Courneuve - Aubervilliers RER,Saint-Just,333.1711311063591
10180,RATP,StopPoint:59:3754207,48.72928,2.359881,100100283:ORLYBUS,413252,DENFERT-ROCHEREAU-METRO-RER,ORLY OUEST,StopPoint:Node:4312006189,2.3597764,48.728589299999996,100100283:ORLYBUS,413252,Paris - Denfert-Rochereau,Aéroport d'Orly - Orly Ouest,77.19345067358849
10192,RATP,StopPoint:59:3909010,48.788963,2.288426,100100294:294,23156,PIERRE SEMARD - CHATILLON-MONTROUGE,BOULEVARD DE LA REPUBLIQUE,StopPoint:Node:5339594321,2.2880564999999997,48.788368299999995,100100294:294,23156,Châtillon - Montrouge,Boulevard de la République,71.49050230482804
10220,RATP,StopPoint:59:3764007,48.750256,2.304542,100100297:297,8207,PORTE D'ORLEANS-METRO,PONT D'ANTONY,StopPoint:Node:1606161294,2.304563,48.7512164,100100297:297,8207,Porte d'Orléans,Pont d'Antony,106.81235537914179
10241,RATP,StopPoint:59:7275199,48.772243,2.312687,100100297:297,8208,PORTE D'ORLEANS-METRO,LES COTTAGES,StopPoint:Node:930358508,2.3130105999999997,48.7731414,100100297:297,8208,Porte d'Orléans,Les Cottages,102.69933959868618
10265,RATP,StopPoint:59:4614407,48.809192,2.484985,100100306:306,39685,NOISY-LE-GRAND - MONT D'EST RER,CIMETIERE DE SAINT-MAUR-DES-FOSSES,StopPoint:Node:1549965824,2.4859926,48.808937799999995,100100306:306,39685,Noisy-le-Grand RER,Cimetière,79.22430055776641
10306,RATP,StopPoint:59:3687278,48.863741,2.41669,100100318:318,39492,CHATEAU DE VINCENNES,GALLIENI,StopPoint:Node:1711217453,2.4170351,48.8647025,100100318:318,39492,Château de Vincennes,Bagnolet – Gallieni,109.88267002192651
10324,RATP,StopPoint:59:5922171,48.863812,2.417044,100100318:318,421222,RAYMOND QUENEAU - ROUTE DE NOISY,GALLIENI,StopPoint:Node:2414716193,2.4173755,48.865035899999995,100100318:318,421222,Raymond Queneau (Pantin),Bagnolet – Gallieni,138.26249530500542
10349,RATP,StopPoint:59:5922209,48.873777,2.420384,100100318:318,37057,CHATEAU DE VINCENNES,GAMBETTA - RENE ALAZARD,StopPoint:Node:2841476332,2.4195868,48.872946299999995,100100318:318,37057,Château de Vincennes,Gambetta – René Alazard,109.33430104212256
10392,RATP,StopPoint:59:3754333,48.80515,2.346662,100100323:323,37921,GAMBETTA,LYCEE DARIUS MILHAUD - CHARLES GIDE,StopPoint:Node:1939566294,2.3478312,48.8053971,100100323:323,37921,Ivry-Gambetta,Lycée Darius Milhaud–Charles Gide,90.17433097921644
10421,RATP,StopPoint:59:4473591,48.802086,2.3396,100100323:323,24364,GAMBETTA,MALLERET-JOINVILLE,StopPoint:Node:3648043104,2.3429213,48.8040747,100100323:323,24364,Ivry-Gambetta,Malleret–Joinville,329.2975748454796
10422,RATP,StopPoint:59:4473592,48.8024,2.339749,100100323:323,24367,ISSY-VAL DE SEINE RER,MALLERET-JOINVILLE,StopPoint:Node:2563183469,2.3428383999999998,48.804218999999996,100100323:323,24367,Issy-Val de Seine,Malleret–Joinville,304.0115308962513
10497,RATP,StopPoint:59:5709859,48.820173,2.395309,100100325:325,23402,CHATEAU DE VINCENNES,JULES VANZUPPE,StopPoint:Node:1504219663,2.3938315,48.821503799999995,100100325:325,23402,Château de Vincennes,Jules Vanzuppe,183.50464182702598
10527,RATP,StopPoint:59:3672173,48.850736,2.416057,100100351:351,28370,ROISSYPOLE,ERIGNAC,StopPoint:Node:2415367932,2.4159031,48.851534099999995,100100351:351,28370,Roissypole,Érignac,89.46996669362727
10548,RATP,StopPoint:59:4458785,48.797384,2.348592,100100380:380,8047,VILLEJUIF - LOUIS ARAGON,BELVEDERE,StopPoint:Node:3647142080,2.3476372999999997,48.797821899999995,100100380:380,8047,Villejuif - Louis Aragon,Belvédère,85.38724451565187
10584,RATP,StopPoint:59:5121409,48.813549,2.301971,100100388:388,15118,BOURG-LA-REINE RER,ETIENNE DOLET,StopPoint:Node:2441825961,2.3028833,48.814090199999995,100100388:388,15118,Bourg-la-Reine RER,Étienne Dolet,90.06452216913979
10599,RATP,StopPoint:59:5137991,48.788394,2.310163,100100388:388,27303,BOURG-LA-REINE RER,FRERES LUMIERE,StopPoint:Node:3585571593,2.3104465,48.789018899999995,100100388:388,27303,Bourg-la-Reine RER,Frères Lumière,72.54763093286059
10611,RATP,StopPoint:59:5138012,48.801665,2.295408,100100388:388,28241,PORTE D'ORLEANS,REPUBLIQUE - LIBERTE,StopPoint:Node:2899578901,2.2942014,48.8011932,100100388:388,28241,Porte d'Orléans,République - Liberté,103.00361859394334
10664,RATP,StopPoint:59:5370695,48.783624,2.289642,100100390:390,26826,EUROPE SUD,AUGUSTIN CLAUDE,StopPoint:Node:3567258458,2.2886242,48.783497399999995,100100390:390,26826,Vélizy - Europe Sud,Augustin Claude,76.10986237486348
10708,RATP,StopPoint:59:5137991,48.788394,2.310163,100100391:391,27303,GARE DE VANVES-MALAKOFF,FRERES LUMIERE,StopPoint:Node:3585571593,2.3104465,48.789018899999995,100100391:391,27303,Gare de Vanves–Malakoff,Frères Lumière,72.54763093286059
10731,RATP,StopPoint:59:5161431,48.789405,2.292697,100100394:394,26829,BOURG-LA-REINE RER,CHATEAU SAINTE-BARBE,StopPoint:Node:447891067,2.2920279,48.7898711,100100394:394,26829,Bourg-la-Reine RER,Château Sainte-Barbe,71.44132231281425
10816,RATP,StopPoint:59:3750040,48.895092,2.371417,100100519:NEY-FLA,24604,PORTE D'AUBERVILLIERS - OBERLE.,EVANGILE - AUBERVILLIERS,StopPoint:Node:2472523787,2.3712644,48.8961681,100100519:NEY-FLA,24604,Porte d'Aubervilliers - Oberlé,Évangile - Aubervilliers,120.19258888840699
10822,RATP,StopPoint:59:6263520,48.81749,2.325147,100100526:MONTBUS,24205,CHATILLON - MONTROUGE-METRO.,AMAURY DUVAL,StopPoint:Node:2597122243,2.3238843,48.8177212,100100526:MONTBUS,24205,Châtillon - Montrouge Métro,Amaury Duval,96.22927523460994
10968,Noctilien,StopPoint:59:4016293,48.891322,2.318669,100987753:N51,24603,GARE SAINT-LAZARE.,BROCHANT - CARDINET,StopPoint:Node:596079812,2.3179000999999997,48.891836,100987753:N51,24603,Gare Saint-Lazare,Brochant - Cardinet,80.2899897227882
10970,Noctilien,StopPoint:59:4016294,48.89284,2.316447,100987753:N51,30007,GARE D'ENGHIEN-LES-BAINS,BOULAY,StopPoint:Node:596069422,2.3150919,48.8936074,100987753:N51,30007,Gare d’Enghien,Boulay,130.98405582939216
11051,Noctilien,StopPoint:59:3716895,48.843693,2.373303,100987757:N34,421409,GARE DE LYON,GARE DE LYON,StopPoint:Node:1352477879,2.3741662999999997,48.8432202,100987757:N34,421409,Gare de Lyon,Gare de Lyon,82.33997098409341
11075,Noctilien,StopPoint:59:3716895,48.843693,2.373303,100987758:N33,421409,GARE DE LYON,GARE DE LYON,StopPoint:Node:1352477879,2.3741662999999997,48.8432202,100987758:N33,421409,Gare de Lyon,Gare de Lyon,82.33997098409341
11251,Noctilien,StopPoint:59:5121356,48.847043,2.273597,100987761:N61,8443,GARE MONTPARNASSE,PONT MIRABEAU,StopPoint:Node:1827357920,2.2741123,48.8476843,100987761:N61,8443,Gare Montparnasse,Pont Mirabeau,80.72479245392317
