line_id,code,name,network,operator,colour,mode,ref:FR:STIF,stop_completude
r5847185,F4,Bus F4 : Rond-Point Pasteur - Yerres → Grosbois - Yerres,Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#FBBF28,bus,C00586,91 % (44/48)
r5847217,I,Bus I : Gare de Yerres ↔ Collège La Guinette / Radio - Villecresnes,Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#C09051,bus,C00592,93 % (29/31)
r5852751,La Navette,La Navette de Thiais : Ferme de Grignon ↔ La Galaise,RATP,RATP,,bus,C01780,100 % (15/15)
r5852775,132,Bus 132 : Bibliothèque François Mitterrand ↔ Vitry-sur-Seine-Moulin Vert Tram,RATP,RATP,#640082,bus,C01160,96 % (63/65)
r5865410,196,Bus 196 : Gare de Massy–Palaiseau / Amblainvilliers ↔ Antony RER ↔ Antony-Pierre Kolhmann,RATP,RATP,#e0b03b,bus,C01216,95 % (60/63)
r5865473,119,Bus 119 : Abbaye–Cimetière (Vauhallan) ↔ Gare de Massy-Palaiseau ↔ Les Baconnets RER,RATP,RATP,#fcca06,bus,C01148,85 % (69/81)
r5873533,5102,Bus 5102 : Gare de Versailles Chantiers ↔ Gare de Plaisir-Grignon,Saint-Quentin-en-Yvelines,Francilité Saint-Quentin-en-Yvelines,#e3051b,bus,C01869,81 % (61/75)
r5890965,95-20,Bus 95-20 : Cergy Préfecture ↔ Val d'Argenteuil,Val Parisis,Francilité Val Parisis,#98D3E1,bus,C00476,40 % (22/55)
r5899903,163,Bus 163 : Centre Madeleine Danielou ↔ Nanterre–Préfecture RER ↔ Porte de Clichy,RATP,RATP,#dc9600,bus,C01185,89 % (89/99)
r5899969,141,Bus 141 : Rueil-Malmaison ↔ La Défense ou Nanterre - Boulevard de la Seine,RATP,RATP,#dcac27,bus,C01167,96 % (81/84)
r5900554,176,Bus 176 : Colombes–Petit Gennevilliers ↔ Pont de Neuilly,RATP,RATP,#dc9600,bus,C01197,90 % (40/44)
r5930785,435,Bus 435 : Les Noyers (Sucy-en-Brie) ↔ Gare RER de Boissy-Saint-Léger,Marne et Seine,Transdev Côteaux de la Marne,#F29503,bus,C00556,90 % (50/55)
r5931043,431,Bus 431 : Gare RER Sucy-Bonneuil ↔ École des Bruyères (Sucy-en-Brie),Marne et Seine,Transdev Côteaux de la Marne,#6E1F64,bus,C00552,79 % (39/49)
r5931083,432,Bus 432 : Gare RER Sucy-Bonneuil ↔ Gare RER de Pontault-Combault,Marne et Seine,Transdev Côteaux de la Marne,#DB2F36,bus,C00553,85 % (54/63)
r5931478,434,Bus 434 : Gare RER Sucy-Bonneuil ↔ Lycée de Sucy-en-Brie,Marne et Seine,Transdev Côteaux de la Marne,#FFDF00,bus,C00555,93 % (30/32)
r5931514,433,Bus 433 : Gare RER Sucy-Bonneuil ↔ Claude Monet (Noiseau),Marne et Seine,Transdev Côteaux de la Marne,#0097D5,bus,C00554,76 % (19/25)
r5931547,440,Bus 440 : Gare RER Sucy-Bonneuil ↔ Centre Commercial Pince-Vent,Marne et Seine,Transdev Côteaux de la Marne,#5B3800,bus,C00547,90 % (27/30)
r5953338,140,Bus 140 : Gare d'Argenteuil ↔ Asnières-Gennevilliers - Gabriel Péri,RATP,RATP,#ED1B2A,bus,C01166,82 % (41/50)
r5953399,108,Bus 108 : Champigny - Jeanne Vacher ↔ Joinville-Le-Pont,RATP,RATP,#F59EB3,bus,C01137,100 % (28/28)
r5954679,189,Bus 189 : Clamart–Georges Pompidou ↔ Porte de Saint-Cloud,RATP,RATP,#ff5a00,bus,C01210,96 % (52/54)
r5954722,195,Bus 195 : Châtenay-Malabry - Lycée Polyvalent ↔ Pierre Semard - Châtillon–Montrouge,RATP,RATP,#bb2e9e,bus,C01215,97 % (45/46)
r5954723,294,Bus 294 : Pierre Semard - Châtillon - Montrouge ↔ Igny RER,RATP,RATP,#C9A3CD,bus,C01268,95 % (61/64)
r5954724,388,Bus 388 : Porte d'Orléans ↔ Bourg-la-Reine RER,RATP,RATP,#FFCD01,bus,C01314,96 % (56/58)
r5955532,180,Bus 180 : Villejuif-Louis Aragon ↔ Charenton–Écoles-Métro,RATP,RATP,#9B993A,bus,C01201,95 % (41/43)
r5963159,172,Bus 172 : Bourg-la-Reine RER ↔ Hôpital Henri Mondo,RATP,RATP,#008C59,bus,C01193,97 % (66/68)
r5964015,109,Bus 109 : Liberté–Chanzy ↔ Terroirs de France,RATP,RATP,#CEC92A,bus,C01138,93 % (14/15)
r5969926,390,Bus 390 : Vélizy–Europe Sud ↔ Bourg-la-Reine RER,RATP,RATP,#82C8E6,bus,C01316,96 % (56/58)
r5973841,428,Bus 428 : Gare routière de Villeneuve-Saint-Georges ↔ Créteil Préfecture,Marne et Seine,Transdev Côteaux de la Marne,#E2001C,bus,C00573,79 % (38/48)
r5974113,S,Bus S : Gare de Boussy-Saint-Antoine ↔ Gare de Combs-la-Ville,Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#A5A4CD,bus,C00590,96 % (52/54)
r5974188,M,Bus M : Gare de Brunoy ↔ Eden (Servon),Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#FFDC00,bus,C00591,100 % (45/45)
r5989074,DM2A,Bus DM2A : Gare de Saint-Michel-sur-Orge ↔ Sainte-Geneviève-des-Bois,Cœur d'Essonne,Transdev Cœur Essonne,#66FFFF,bus,C00662,95 % (21/22)
r5989121,DM4,Bus DM4 : La Treille - Viry-Châtillon ↔ RER Gare Condorcet,Évry Centre Essonne,Keolis TISSE,#3fc8f4,bus,C00665,96 % (29/30)
