line_id,code,name,network,operator,colour,mode,ref:FR:STIF,stop_completude
r6827371,238,Bus 238 : Saint-Gratien RER ou ZAC des Louvresses ↔ Pont de Levallois,RATP,RATP,#FF82B4,bus,C01237,98 % (62/63)
r6835726,361,Bus 361 : Gare d'Argenteuil ↔ Pierrefitte–Stains RER,RATP,RATP,#3445C6,bus,C01305,100 % (73/73)
r6839230,6254,Bus 6254 : Droits de l’Homme ↔ Ferme de Gally,Grand Versailles,Transdev Versailles,#F5777B,bus,C02184,70 % (29/41)
r6839305,FA,Bus FA : Clos Salibert (Saint-Nom la Breteche) ↔ Lycée Franco-Allemand (Buc),Centre et Sud Yvelines,Transdev Sud Yvelines,#701133,bus,C01874,94 % (48/51)
r6839321,6252,Bus 6252 : Gare de Saint-Cyr l'École (circulaire),Grand Versailles,Transdev Versailles,#AED4A6,bus,C02219,83 % (15/18)
r6839342,6253,Bus 6253 : Gare de Saint-Cyr l'École (circulaire),Grand Versailles,Transdev Versailles,#96A0C8,bus,C02183,100 % (17/17)
r6851661,L,Bus L : Gare d'Esbly ↔ Rue des Prés (Trilbardou),Meaux et Ourcq,Transdev Marne-et-Ourcq,,bus,C00912,12 % (2/16)
r6860109,H,Bus H : Gare de Villeneuve-Saint-Georges ↔ Vigneux-sur-Seine,Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#B65190,bus,C00576,86 % (33/38)
r6860181,E,Bus E : Gare de Boissy-Saint-Léger ↔ Gare de Brunoy,Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#DD0026,bus,C00599,85 % (59/69)
r6860541,DM11C,Bus DM11C : Gare de Massy-Palaiseau ↔ Laboratoires (Marcoussis),Paris-Saclay,RATP Cap Saclay,#FFD900,bus,C00687,60 % (12/20)
r6860557,216,Bus 216 : Denfert-Rochereau ↔ Marché International de Rungis,RATP,RATP,#ed1b2a,bus,C01230,100 % (27/27)
r6860704,Tvm,Bus Tvm : Antony-La Croix de Berny RER ↔ Saint-Maur - Créteil RER,RATP,RATP,#216eb4,bus,C01071,96 % (62/64)
r6867541,191.100,Bus Express 191.100 : Gare de Yerres ↔ M.I.N. (Chevilly-Larue - Rungis),Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#0097d8,bus,C00379,70 % (28/40)
r6867574,91-09,Bus Express 91-09 : Gare Routière de Yerres ↔ Gare Routière d'Évry,Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#1ac7ff,bus,C01570,100 % (30/30)
r6880011,95-04,Bus 95-04 : Bray et Lû ↔ Cergy Préfecture,Vexin,Transdev Vexin,#1AC7FF,bus,C01552,85 % (40/47)
r6880695,95-11,Bus 95-11 : Bray-et-Lû - Place du 19 Mars 1962 ↔ Mantes-la-Jolie - Gare,Vexin,Transdev Vexin,,bus,C01553,93 % (27/29)
r6881771,95-24,Bus 95-24 : Moussy - Mairie ↔ Ableige - Transformateur ↔ Us -Stade ↔ Vigny - Collège,Vexin,Transdev Vexin,#998eb8,bus,C00141,91 % (22/24)
r6883259,305,Bus 305 : Henri Barbusse - Gare RER de Corbeil Essonnes ↔ Juvisy Gare Routière Seine,Évry Centre Essonne,Keolis TISSE,#660000,bus,C00392,84 % (43/51)
r6883314,Licorne,Bus Licorne : Foyer Jean Rostand (circulaire),Seine Grand Orly,Keolis Ouest Val-de-Marne,#e2007a,bus,C00003,96 % (29/30)
r6885970,R104,Bus R104 : Sécurité Sociale (Goussainville) ↔ Institut Saint-Dominique (Mortefontaine),Roissy Ouest,Keolis Roissy Pays de France Ouest,#0072BC,bus,C00239,81 % (31/38)
r6886051,A14,Bus Express A14 : La Défense - Terminal Jules Verne ↔ Gare des Mureaux,Poissy - Les Mureaux,Keolis Seine et Oise Est,#62b4e3,bus,057314142:ExpA14,
r6886090,41A,Bus 41A : La Ferté sous Jouarre ↔ Coulommiers,Brie et Deux Morin,Transdev Brie et Deux Morin,#FF0000,bus,C01060,13 % (5/37)
r6886101,5122,Bus 5122 : Gare de La Verrière ↔ Les Côtes,Saint-Quentin-en-Yvelines,Francilité Saint-Quentin-en-Yvelines,#79AC2B,bus,C01526,96 % (30/31)
r6886129,5104,Bus 5104 : Gare de Trappes ↔ Saint-Exupéry,Saint-Quentin-en-Yvelines,Francilité Saint-Quentin-en-Yvelines,#b90745,bus,C01527,94 % (49/52)
r6904183,J,Transilien J,Transilien,SNCF,#C6CC00,train,C01739,
r6907402,T3a,Tramway T3a : Pont du Garigliano-(Hopital Européen Georges Pompidou) ↔ Porte de Vincennes,Tramway d'Île de France,RATP,#F68C59,tram,C01391,
r6910344,T4,Tramway T4 : Bondy ↔ Aulnay-sous-Bois / Hôpital de Montfermeil,Transilien,SNCF,#F2AF00,tram,C01843,
r6910410,T5,Tramway T5 : Marché de Saint-Denis ↔ Gare de Garges - Sarcelles RER,Tramway d'Île de France,RATP,#B156A1,tram,C01684,
r6910437,T6,Tramway T6 : Châtillon–Montrouge ↔ Viroflay Rive Droite,Tramway d'Île de France,RATP,#E85426,tram,C01794,
r6910465,T7,Tramway T7 : Villejuif-Louis Aragon ↔ (Athis-Mons) Porte de l'Essonne,Tramway d'Île de France,RATP,#B98B59,tram,C01774,
r6915922,Orlybus,OrlyBus : Paris-Denfert–Rochereau ↔ Aéroport d'Orly 1-2-3,RATP,RATP,#ee1b29,bus,C01261,66 % (4/6)
r6928902,Orlyval,Orlyval : Antony ↔ Orly 4,Métro de Paris,RATP,#FFCF00,subway,C01388,
r6928933,CDGVAL,CDGVAL : Terminal 1 ↔ Terminal 2 - Gare,CDGVAL,Aéroports de Paris,#142B4A,subway,C00563,
r6928970,Funiculaire,Funiculaire de Montmartre : Gare Basse ↔ Gare Haute,RATP,RATP,#622282,funicular,C01385,
r6929043,483,Bus 483 : Gare de Choisy-Le-Roi ↔ Gare de Villeneuve-Saint-Georges,Seine Grand Orly,Keolis Ouest Val-de-Marne,#f7941d,bus,C00004,78 % (50/64)
r6929582,274,Bus 274 : Porte des Ternes - Anny Flore ↔ Saint-Denis RER,RATP,RATP,#F50024,bus,C01255,82 % (52/63)
r6929704,360,Bus 360 : Hôpital de Garches ↔ La Défense,RATP,RATP,,bus,C01304,96 % (60/62)
r6940386,4457,Bus 4457 : Dourdan ↔ Étampes,Essonne Sud Ouest,Francilité Ouest Essonne,#5291CE,bus,C01568,95 % (22/23)
r6940387,91-02,Bus 91-02 : Gare de Dourdan ↔ Gare du Guichet,Essonne Sud Ouest,Francilité Ouest Essonne,#3BB2FF,bus,C01563,83 % (20/24)
r6940421,91-05,Bus 91-05 : Évry Gare Routière ↔ Gare de Massy-Palaiseau,Paris-Saclay,RATP Cap Saclay,#1ac7ff,bus,C01566,48 % (13/27)
r6940422,91-04,Bus 91-04 : Évry ↔ Arpajon ou Briis-sous-Forges,Cœur d'Essonne,Transdev Cœur Essonne,#1ac7ff,bus,C01565,97 % (35/36)
r6949602,E2,Bus E2 : Collège Pompidou ↔ Plaine Haute (Crosne),Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#FBC322,bus,C00601,37 % (13/35)
r6949654,N135,Noctilien N135 : Gare de Boissy-Saint-Léger ↔ Gare de Corbeil Essonnes,Noctilien,Keolis Val d'Yerres Val de Seine,#008B5A,bus,C01643,66 % (26/39)
r6950503,N153,Noctilien N153: Gare Saint-Lazare ↔ Gare de Saint-Germain-en-Laye,Noctilien,RATP,#FF1400,bus,C01422,88 % (16/18)
r6950504,N151,Noctilien N151 : Gare Saint-Lazare ↔ Gare de Mantes la Jolie,Noctilien,RATP Cap Mantois,#CEC92A,bus,C01635,69 % (16/23)
r6952110,9501,Bus 9501 : Roissypole (RER) ↔ Gare de Survilliers - Fosses,Roissy Ouest,Keolis Roissy Pays de France Ouest,#4DEDFF,bus,C00264,86 % (31/36)
r6953405,95-05,Bus 95-05 : Frouville - Messelan ↔ Mennouville - Place du Village ↔ Hérouville-en-Vexin - Château ↔ Ennery - Croix d'Autel ↔ Gare de Cergy-Préfecture,Vexin,Transdev Vexin,#00FFFF,bus,C00393,74 % (47/63)
r6953807,N142,Noctilien N142: Gare de l’Est ↔ Tournan RER,Noctilien,Keolis Portes et Val de Brie,#C04191,bus,C01640,31 % (6/19)
r6954049,95-06,Bus 95-06 : Arronville - Lavoir ↔ Cergy Préfecture,Vexin,Transdev Vexin,#00A6FF,bus,C01785,74 % (29/39)
r6954593,128,Bus 128 : Porte d'Orléans ↔ Robinson RER,RATP,RATP,#8D653A,bus,C01157,100 % (40/40)
r6955407,N41,Noctilien N41: Gare de l’Est ↔ Villeparisis - Mitry-le-Neuf RER,Noctilien,RATP,#F59EB3,bus,C01411,96 % (105/109)
r6955494,N42,Noctilien N42: Gare de l’Est ↔ Aulnay–Garonor,Noctilien,RATP,#E0B03A,bus,C01396,95 % (81/85)
r6955549,N43,Noctilien N43: Gare de l’Est ↔ Gare de Sarcelles–Saint-Brice,Noctilien,RATP,#F78F4B,bus,C01406,93 % (82/88)
r6955630,N44,Noctilien N44: Gare de l’Est ↔ Garges-Sarcelles RER,Noctilien,RATP,#77C695,bus,C01395,96 % (81/84)
r6955761,N45,Noctilien N45: Hôpital de Montfermeil ↔ Gare de l’Est,Noctilien,RATP,#FFCD02,bus,C01405,96 % (92/95)
r6956211,N71,Noctilien N71: Marché International de Rungis ↔ Val de Fontenay RER,Noctilien,RATP,#BB4A9B,bus,C01410,94 % (80/85)
r6956361,N63,Noctilien N63 : Gare Montparnasse ↔ Palaiseau - Polytechnique Vauve,Noctilien,RATP,#CEC92A,bus,C01408,97 % (95/97)
r6956562,N122,Noctilien N122: Châtelet ↔ Saint-Rémy-lès-Chevreuse RER,Noctilien,RATP,#4D90CD,bus,C01421,90 % (29/32)
r6956787,N131,Noctilien N131: Gare de Lyon ↔ Brétigny RER,Noctilien,Transdev Cœur Essonne,#FFE300,bus,C01636,64 % (16/25)
r6956807,N133,Noctilien N133: Gare de Lyon ↔ Juvisy RER,Noctilien,Keolis Val d'Yerres Val de Seine,#FFDC1C,bus,C01648,71 % (25/35)
r6956998,N140,Noctilien N140: Gare de l’Est ↔ Roissypole,Noctilien,Keolis Roissy Pays de France Ouest,#4D90CD,bus,C01638,61 % (19/31)
r6957009,N143,Noctilien N143: Gare de l’Est ↔ Roissypole,Noctilien,Keolis Roissy Pays de France Ouest,#4D90CD,bus,C01644,45 % (5/11)
r6957037,N139,Noctilien N139 : Gare de Lyon ↔ Corbeil-Essonnes RER,Noctilien,Keolis TISSE,#00AB66,bus,C01645,74 % (23/31)
r6957057,N145,Noctilien N145: Gare Montparnasse ↔ Gare de La Verrière - Gare de Rambouillet,Noctilien,Transdev Sud Yvelines,#0AA896,bus,C01646,73 % (39/53)
r6957244,19,Bus 19 : Aéroport CDG T3 - Roissypole ↔ Torcy RER,Seine-et-Marne Express,Transdev AMV,#ff0000,bus,C00639,52 % (9/17)
r6957245,18,Bus 18 : Gare de Melun ↔ Gare de Meaux,Meaux et Ourcq,Transdev Marne-et-Ourcq,,bus,C00637,50 % (11/22)
r6957303,Express 17,Bus Express 17 : Marne-la-Vallée Chessy Sud ↔ Coulommiers ↔ La Ferté Gaucher,Brie et Deux Morin,Transdev Brie et Deux Morin,#5291CE,bus,C01063,93 % (29/31)
r6957304,46,Bus 46 : Gare de Montereau ↔ Gare de Melun,Pays de Montereau,Francilité Pays de Montereau,#4D90CD,bus,C00798,96 % (24/25)
r6957305,34,Bus 34 : Gare de Melun ↔ Chateau-Landon ou Égreville,Vallée du Loing - Nemours,Transdev Vallée du Loing,,bus,C00815,82 % (24/29)
r6957343,18,Bus 18 : Gare de Torcy ↔ De Gaulle (Tournan-en-Brie),Pays Briard,Keolis Portes et Val de Brie,,bus,C00017,45 % (10/22)
r6958361,N150,Noctilien N150 : Gare Saint-Lazare ↔ Gare de Pontoise ↔ Gare de Cergy-le-Haut,Noctilien,Transdev Vexin,#ED1C29,bus,C01637,20 % (3/15)
r6958366,N152,Noctilien N152 : Gare Saint-Lazare ↔ Gare de Maison-Laffitte ↔ Gare de Cergy-le-Haut,Noctilien,Transdev Vexin,#ED1C29,bus,C01641,48 % (15/31)
r6958414,N154,Noctilien N154: Gare Saint-Lazare ↔ Montigny–Beauchamp RER,Noctilien,Transdev Vexin,#FFDC1C,bus,C01647,55 % (15/27)
r6970689,95-08,Bus 95-08 : Chars ↔ Marines ↔ Cergy-Préfecture,Vexin,Transdev Vexin,#8FBF00,bus,C00395,85 % (51/60)
r6972206,644,Bus 644 : Gutenberg - Lycée Boulloche ↔ Collège Henri IV (Vaujours),Seine-Saint-Denis,Transdev TRA,#76c695,bus,C01595,95 % (45/47)
r6972217,640,Bus 640 : Parc des Expositions (circulaire),Terres d'Envol,Transdev Nord Seine-Saint-Denis,,bus,C01592,
r6972224,637,Bus 637 : Gare d'Aulnay-sous-Bois (circulaire),Terres d'Envol,Transdev Nord Seine-Saint-Denis,,bus,C01591,94 % (17/18)
r6972324,613,Bus 613 : Gare d'Aulnay-sous-Bois ↔ Gare de Chelles-Gournay,Seine-Saint-Denis,Transdev TRA,#097A47,bus,C01581,92 % (61/66)
r6972327,Express 100,Bus Express 100 Chelles : Roissypole ↔ Chelles - Rond-Point des Sciences,KMR,Keolis Mobilité Roissy,,bus,C02062,78 % (40/51)
r6980341,1537,Bus 1537 : Gare d'Épinay-sur-Seine ↔ Les Flanades,Vallée de Montmorency,Transdev Valmy,#662483,bus,C00307,89 % (61/68)
r6985621,91-08,Bus 91-08 : Centre Commercial (Vélizy) ↔ Fresnel - Vauve (Palaiseau) ou Mairie des Ulis,Paris-Saclay,RATP Cap Saclay,#1ac7ff,bus,C01569,64 % (11/17)
r6991408,623,Bus 623 : Gare de Sevran-Livry Sud ↔ Gare de Gagny,Seine-Saint-Denis,Transdev TRA,#87d3df,bus,C01589,81 % (39/48)
r6991440,2251,Bus 2251 : Gare de Lagny - Thorigny (Rue R. Poincaré) ⥋ Gare de Lagny - Thorigny (Rue R. Poincaré),Marne-la-Vallée,Transdev Marne-la-Vallée,#F3A4BA,bus,C00620,90 % (19/21)
r6991441,2252,Bus 2252 : Gare de Lagny - Thorigny (Rue R. Poincaré) ⥋ Gare de Lagny - Thorigny (Rue R. Poincaré),Marne-la-Vallée,Transdev Marne-la-Vallée,#98D4E2,bus,C00619,94 % (18/19)
r6991442,2250,Bus 2250 : Gare de Lagny - Thorigny (Rue R. Poincaré) ⥋ Thorigny-sur-Marne Cornilliot (accès SNCF),Marne-la-Vallée,Transdev Marne-la-Vallée,#71CC98,bus,C00622,87 % (21/24)
r6993738,95-07,Bus 95-07 : Parmain - Jouy le Comte-Église ↔ Cergy Préfecture,Vexin,Transdev Vexin,#00FF00,bus,C00394,92 % (63/68)
r6994039,2292,Bus 2292 : Gare de Val d'Europe ⥋ Gare de Tournan-en-Brie,Marne-la-Vallée,Transdev Marne-la-Vallée,#F28E42,bus,C00631,92 % (35/38)
r7003010,2223,Bus 2223 : Gare de Lagny - Thorigny ⥋ Gare de Marne-la-Vallée - Chessy Nord,Marne-la-Vallée,Transdev Marne-la-Vallée,#C04191,bus,C00627,93 % (62/66)
r7011211,N02,Noctilien N02 : Circulaire Extérieure,Noctilien,RATP,#ED1C2A,bus,C01414,89 % (42/47)
r7011212,N01,Noctilien N01 : Circulaire Intérieure,Noctilien,RATP,#BB4A9B,bus,C01413,93 % (44/47)
r7011231,v6,Bus v6 : circulaire Leclerc Thomas,Valouette,RATP,#77c696,bus,C01367,86 % (13/15)
r7011232,v7,Bus v7 : Villejuif-Louis Aragon Métro,Valouette,RATP,#D35E3C,bus,C01363,92 % (24/26)
r7011233,v3,Bus v3 : Service de Cachan,Valouette,RATP,#CDC83F,bus,C01359,100 % (28/28)
r7011260,D,Bus D : Gare de Brunoy (circulaire),Val d'Yerres Val de Seine,Keolis Val d'Yerres Val de Seine,#E2BA00,bus,C00579,76 % (13/17)
r7011261,449,Bus 449 : Collège la Guinette (circulaire),Marne et Seine,Transdev Côteaux de la Marne,#004A98,bus,C00597,61 % (13/21)
r7011271,73,Bus 73 : Lycée Van Gogh (Aubergenville) ↔ Gare (Les Mureaux),Poissy - Les Mureaux,Keolis Seine et Oise Est,,bus,C00110,
r7011277,7,Bus 7 : Gare d'Argenteuil ↔ Gare d'Enghien-les-Bains,Argenteuil - Boucles de Seine,Keolis Argenteuil Boucles de Seine,#588fd2,bus,C00312,58 % (20/34)
r7011303,480,Bus 480 : Gare de Villeneuve-Saint-Georges ↔ Aéroport d'Orly 1-2-3,Seine Grand Orly,Keolis Ouest Val-de-Marne,#00adee,bus,C00006,81 % (26/32)
r7011364,21,Bus 21 : Gare du Vésinet - Le Pecq ↔ Gare de Marly-le-Roi - Bèque,Saint-Germain Boucles de Seine,Transdev Île-de-France Boucle des Lys,#783F04,bus,C00154,92 % (25/27)
r7011365,10,Bus 10 : Gare de Saint-Germain ↔ Gare de Marly-le-Roi,Saint-Germain Boucles de Seine,Transdev Île-de-France Boucle des Lys,,bus,C00149,81 % (22/27)
r7073416,M151,Bus M151 : Paris-Porte d'Orléans ↔ Arpajon-Porte d'Étampes,Cœur d'Essonne,Transdev Cœur Essonne,#ff8c00,bus,C00689,94 % (48/51)
r7074022,RoissyBus,Bus RoissyBus : Paris–Opéra ↔ Aéroport Charles de Gaulle,RATP,RATP,#ff1400,bus,C01300,66 % (6/9)
r7095879,486,Bus 486 : Marché de Juvisy ↔ Porte de l'Essonne (Athis-Mons),RATP,RATP,#008b59,bus,C01821,92 % (37/40)
r7095936,292,Bus 292 : ZAC Les Gâtines - Capitaine Jean d'Hers (Savigny-sur-Orge) ↔ Porte de l'Essonne (Athis-Mons),RATP,RATP,#f59eb3,bus,C01267,95 % (41/43)
r7097513,30B,Bus 30B : Circulaire de Goussainville,Roissy Ouest,Keolis Roissy Pays de France Ouest,#97D4E2,bus,C00205,89 % (17/19)
r7097520,30D,Bus 30D : Circulaire de Goussainville,Roissy Ouest,Keolis Roissy Pays de France Ouest,#9AA223,bus,C00206,92 % (12/13)
r7097563,1312,Bus 1312 : Chaumontel ↔ Goussainville,Haut Val d'Oise,Keolis Nord Val d’Oise,#8D5E2A,bus,C00194,57 % (19/33)
r7101486,414,Bus 414(D) : Évry-Courcouronnes Centre ↔ Le Plessis-Pâté ou Vert-le-Grand,Évry Centre Essonne,Keolis TISSE,#F094BB,bus,C01627,75 % (48/64)
r7105179,91-03,Bus 91-03 : Gare de Dourdan ↔ (Gare d'Orsay Ville) ↔ Gare de Massy-Palaiseau,Essonne Sud Ouest,Francilité Ouest Essonne,#3BB2FF,bus,C01564,88 % (8/9)
r7105212,91-10,Bus 91-10 : Orly ↔ Massy ↔ Saint-Quentin-en-Yvelines,Île-de-France Ouest,Francilité Express Ouest,#1ac7ff,bus,C01571,88 % (67/76)
r7114025,627,Bus 627 : Gare d'Aulnay-sous-Bois ↔ Garonor (Aulnay-sous-Bois),Terres d'Envol,Transdev Nord Seine-Saint-Denis,,bus,C01590,
r7136184,Choisybus,Bus 582 : Choisybus : Service urbain de Choisy-le-Roi (circulaire),RATP,RATP,#E0B03B,bus,C01360,96 % (29/30)
r7140481,6,Bus 6 : circulaire de Camberwell (Sceaux),Paladin,Bièvre Bus Mobilités,#6166FF,bus,C00343,23 % (7/30)
r7141723,95-34,Bus 95-34 : Sagy- Saillancourt ↔ Marines - Collège les Hautiers,Vexin,Transdev Vexin,#00E84F,bus,C01790,80 % (20/25)
r7142127,14,Bus 14 : Fontenay-aux-Roses Division Leclerc - La Croix de Berny RER,Vallée Sud,Transdev Vallée Sud,#0055FA,bus,C00350,68 % (35/51)
r7142158,1,Bus 1 : Gare de Chelles - Gournay ↔ Hôpital de Montfermeil,Apolo 7,Société des transports du bassin chellois,#FFD90F,bus,C01423,100 % (52/52)
r7147174,282,Bus 282 : Levasseur (Thiais) ↔ Centre Commercial - Pont de Vitry,Seine Grand Orly,Keolis Ouest Val-de-Marne,#2cb461,bus,C00007,100 % (35/35)
r7147185,30-43,Bus 30-43 : Ermont La Tour ↔ Gare de Cernay (Ermont),Val Parisis,Francilité Val Parisis,#008000,bus,C00467,75 % (6/8)
r7177053,3208,Bus 3208 : Marcel Mougenot ↔ Gare de Chambenoist - Poigny,Provinois - Brie et Seine,Francilité Grand Provinois,#C04191,bus,C01517,79 % (19/24)
r7177088,3209,Bus 3209 : Lotissement ↔ Ville Haute,Provinois - Brie et Seine,Francilité Grand Provinois,#98D4E2,bus,C01519,83 % (15/18)
r7194122,617,Bus 617 : Gare d'Aulnay-sous-Bois ↔ Segro Logistics Park,Terres d'Envol,Transdev Nord Seine-Saint-Denis,,bus,C01585,68 % (35/51)
r7194158,112,Bus 112 : Fontainebleau ↔ Fontaineroux ou Samoreau,Fontainebleau - Moret,Transdev Pays de Fontainebleau,#F74C00,bus,C00797,91 % (53/58)
r7194163,1234,Bus 1234 : Gare de Conflans Fin d'Oise ↔ Gare de Conflans-Sainte-Honorine Place Romagné ↔ Gare de Neuville-Université,Cergy-Pontoise Confluence,Francilité Seine et Oise,#DC9650,bus,C01479,97 % (40/41)
r7194182,4450,Bus 4450 : Dourdan ↔ Paray Douaville,Essonne Sud Ouest,Francilité Ouest Essonne,#00814F,bus,C00176,4 % (1/24)
r7194184,18,Bus 18 : Gare de Dourdan ↔ Champarts (Ablis),Centre et Sud Yvelines,Transdev Sud Yvelines,,bus,C00173,19 % (10/52)
r7199517,13,Bus 13 : Combs-la-Ville - Quincy Gare RER (circulaire intérieur),Sénart,Transdev Sénart,,bus,C00847,94 % (17/18)
r7202603,4307,Bus 4307 : Évry-Courcouronnes Gare ↔ Fontenay - Grande Rue,Essonne Sud Est,Keolis Val d'Essonne Deux Vallées,#FFA500,bus,C02020,91 % (45/49)
r7204064,27,Bus 27 : Gare de Lieusaint-Moissy ↔ Green de Réau,Sénart,Transdev Sénart,,bus,C00848,
r7208739,3311,Bus 3311 : Montereau Église ↔ Hameau de Chevinois,Pays de Montereau,Francilité Pays de Montereau,#87D3DF,bus,C01440,84 % (32/38)
r7208740,3310,Bus 3310 : Gare de Montereau-Fault-Yonne ↔ Route de Chevinois,Pays de Montereau,Francilité Pays de Montereau,#006DB8,bus,C01438,13 % (4/30)
r7214891,Traverse,Traverse Brancion-Commerce,Autocars Dominique,B.E.-Green,#ABCF38,bus,C01757,93 % (30/32)
r7224864,2253,Bus 2253 (Circulaire) : Gare de Lagny - Thorigny,Marne-la-Vallée,Transdev Marne-la-Vallée,#FFCE00,bus,C00633,89 % (33/37)
r7227705,2,Ligne 2 : Porte Dauphine ↔ Nation,Métro de Paris,RATP,#0055c8,subway,C01372,
r7234663,502,Bus 502 : Campus Sainte-Thérèse (Ozoir-la-Ferrière) ↔ Pontault-Combault,Sit'Bus,N'4 Mobilités,,bus,C00029,93 % (57/61)
r7234686,5,Bus 5 : Saint-Quentin en Yvelines ↔ Château,Centre et Sud Yvelines,Transdev Sud Yvelines,#644C18,bus,C00401,88 % (61/69)
r7244705,26,Bus 26 : Circulaire Chanteloup,Sénart,Transdev Sénart,,bus,C00866,75 % (6/8)
r7244706,25,Bus 25 : Circulaire Claude Bernard,Sénart,Transdev Sénart,,bus,C00864,
r7244792,208s,Bus 208s : Champigny–Saint-Maur RER (circulaire) via Paul Venzac (nuit),RATP,RATP,#000080,bus,C01819,100 % (17/17)
r7245040,DM3A,Bus DM3A : RER Gare Condorcet ↔ F. Mitterrand - Viry-Châtillon,Cœur d'Essonne,Transdev Cœur Essonne,#d674ba,bus,C00664,96 % (28/29)
r7248309,24,Bus 24 : circulaire de Lieusaint,Sénart,Transdev Sénart,,bus,C00865,28 % (4/14)
r7261212,389,Bus 389 : Hôtel de Ville Boulogne-Billancourt ↔ Clamart - Georges Pompidou,RATP,RATP,#006CB8,bus,C01315,95 % (57/60)
r7263065,02,Bus 02 : Les Prés Hauts (Saint-Pierre-du-Perray) ↔ Petit Sénart (Tigery),Sénart,Transdev Sénart,,bus,C00841,84 % (11/13)
r7271953,E,RER E,RER,SNCF,#C04191,train,C01729,
r7280948,Citalien,Bus Citalien : Carré Citoyenneté (Lieusaint) ↔ Gare Routière Mail (Melun),Sénart,Transdev Sénart,,bus,C01806,68 % (17/25)
r7292418,9,Bus 9 : Centre Commercial Ulis 2 ↔ Gare du Guichet ↔ Saclay ↔ Gare de Jouy-en-Josas,Paris-Saclay,RATP Cap Saclay,#DC2185,bus,C01561,87 % (63/72)
r7301947,35,Bus 35 : Savigny - Nandy Gare RER ↔ Cesson Gare RER,Sénart,Transdev Sénart,,bus,C00856,33 % (3/9)
r7304704,52,Bus 52 : Fontenay Saint-Père - Église ↔ Limay - Lycée Condorcet,Mantois,RATP Cap Mantois,#3D90C6,bus,C00744,75 % (9/12)
r7318440,2,Bus 2 : Gare de Chelles Gournay ↔ Paul Algis (Chelles),Apolo 7,Société des transports du bassin chellois,#0033cc,bus,C01426,93 % (57/61)
r7323910,42,Bus 42 : Cesson Gare RER ↔ Hautes Billes (Vert-Saint-Denis),Sénart,Transdev Sénart,,bus,C00854,50 % (10/20)
r7323911,43,Bus 43 : Cesson Gare RER ↔ Hautes Billes (Vert-Saint-Denis),Sénart,Transdev Sénart,,bus,C00855,35 % (7/20)
r7331862,5,Bus 5 : Hôpital de Montfermeil ↔ Gare de Lagny Thorigny,Apolo 7,Société des transports du bassin chellois,#34B4E4,bus,C01427,71 % (33/46)
r7346820,1201,Bus 1201 : Gare de Pontoise - Canrobert ↔ Gare de Cergy-Saint-Christophe ↔ Cergy - Jules Verne,Cergy-Pontoise Confluence,Francilité Seine et Oise,#A50034,bus,C00772,83 % (36/43)
r7353488,1242,Bus 1242 : Cergy - Préfecture ↔ Clinique Sainte-Marie,Cergy-Pontoise Confluence,Francilité Seine et Oise,#A50034,bus,C00785,90 % (30/33)
r7359261,1241,Bus 1241 : Gare de Cergy Préfecture ↔ Saint-Ouen-l'Aumône - Fond de Vaux,Cergy-Pontoise Confluence,Francilité Seine et Oise,#A0006E,bus,C00784,92 % (24/26)
r7364631,1232,Bus 1232 : Gare de Cergy Préfecture ↔ Saint-Ouen-l'Aumône - Lycée Jean Perrin,Cergy-Pontoise Confluence,Francilité Seine et Oise,#00643C,bus,C00782,87 % (42/48)
r7370851,1228,Bus 1228 : Gare de Cergy Préfecture ↔ Saint-Ouen-l'Aumône - Equerre,Cergy-Pontoise Confluence,Francilité Seine et Oise,#82C8E6,bus,C00783,94 % (37/39)
r7372176,1226,Bus 1226 : Gare de Cergy-Préfecture ↔ Gare de Méry-sur-Oise,Cergy-Pontoise Confluence,Francilité Seine et Oise,#6E491E,bus,C00781,96 % (53/55)
r7373447,1208,Bus 1208 : Gare de Cergy Préfecture ↔ Gare de Neuville Université,Cergy-Pontoise Confluence,Francilité Seine et Oise,#00A092,bus,C00778,94 % (33/35)
r7387039,12ZI,Bus 12ZI : Gare de Goussainville (circulaire via ZAE Moinon),Roissy Ouest,Keolis Roissy Pays de France Ouest,#5191CD,bus,C02166,100 % (8/8)
r7399969,1516,Bus 1516 : Argenteuil Gare ↔ Enghien Gare SNCF,Vallée de Montmorency,Transdev Valmy,#e52529,bus,C01802,95 % (38/40)
r7413474,3,Bus 3 : Centre Commercial Ulis 2 ↔ Gare d'Orsay Ville,Paris-Saclay,RATP Cap Saclay,#007733,bus,C00068,90 % (29/32)
r7413493,6140,Bus 6140 : Inovel Parc Nord ↔ Pont de Sèvres,Vélizy Vallées,Keolis Vélizy Vallée de la Bièvre,#F69238,bus,C00048,93 % (15/16)
r7419766,1237,Bus 1237 : Gare de Conflans Fin d'Oise ↔ Vauréal - La Bussie ↔ Vauréal - Georges Brassens,Cergy-Pontoise Confluence,Francilité Seine et Oise,#6E491E,bus,C00773,85 % (41/48)
