agency_id,agency_name,agency_url,agency_timezone,agency_lang
848,"Transdev Ile-de-France Lys",http://www.vianavigo.com,Europe/Paris,fr
822,"Keolis Orly Rungis",http://www.vianavigo.com,Europe/Paris,fr
95,"Express A14",http://www.vianavigo.com,Europe/Paris,fr
319,"Filéo",http://www.vianavigo.com,Europe/Paris,fr
914,"KMR",http://www.vianavigo.com,Europe/Paris,fr
758,"Busval d'Oise",http://www.vianavigo.com,Europe/Paris,fr
584,"TAM",http://www.vianavigo.com,Europe/Paris,fr
750,"MAGICAL SHUTTLE",http://www.vianavigo.com,Europe/Paris,fr
302,"Com'Bus",http://www.vianavigo.com,Europe/Paris,fr
303,"Actipôles",http://www.vianavigo.com,Europe/Paris,fr
285,"Phébus",http://www.vianavigo.com,Europe/Paris,fr
782,"Titus",http://www.vianavigo.com,Europe/Paris,fr
783,"Aubergenville",http://www.vianavigo.com,Europe/Paris,fr
881,"Paris-Saclay",http://www.vianavigo.com,Europe/Paris,fr
658,"ADP",http://www.vianavigo.com,Europe/Paris,fr
441,"Navette",http://www.vianavigo.com,Europe/Paris,fr
923,"SNCF/RATP",http://www.vianavigo.com,Europe/Paris,fr
354,"SNCF",http://www.vianavigo.com,Europe/Paris,fr
916,"Seine-Saint-Denis",http://www.vianavigo.com,Europe/Paris,fr
426,"TVS",http://www.vianavigo.com,Europe/Paris,fr
410,"CARS PERRON",http://www.vianavigo.com,Europe/Paris,fr
35,"CARS SOEUR",http://www.vianavigo.com,Europe/Paris,fr
33,"Cars ROSE",http://www.vianavigo.com,Europe/Paris,fr
726,"Bouffémont",http://www.vianavigo.com,Europe/Paris,fr
30,"CARS MOREAU",http://www.vianavigo.com,Europe/Paris,fr
870,"VIAMO-MELUN",http://www.vianavigo.com,Europe/Paris,fr
420,"Paladin",http://www.vianavigo.com,Europe/Paris,fr
308,"PROCARS",http://www.vianavigo.com,Europe/Paris,fr
388,"Siyonne",http://www.vianavigo.com,Europe/Paris,fr
105,"Seine et Marne Express",http://www.vianavigo.com,Europe/Paris,fr
134,"Valmy",http://www.vianavigo.com,Europe/Paris,fr
442,"RATP",http://www.vianavigo.com,Europe/Paris,fr
56,"Noctilien",http://www.vianavigo.com,Europe/Paris,fr
439,"METRO",http://www.vianavigo.com,Europe/Paris,fr
440,"TRAMWAY",http://www.vianavigo.com,Europe/Paris,fr
456,"Autocars Tourneux",http://www.vianavigo.com,Europe/Paris,fr
361,"Mobicaps",http://www.vianavigo.com,Europe/Paris,fr
571,"Albatrans",http://www.vianavigo.com,Europe/Paris,fr
447,"Trans Val de France",http://www.vianavigo.com,Europe/Paris,fr
379,"LES CARS BLEUS",http://www.vianavigo.com,Europe/Paris,fr
369,"Apolo 7",http://www.vianavigo.com,Europe/Paris,fr
347,"Yerres",http://www.vianavigo.com,Europe/Paris,fr
346,"TRAMY",http://www.vianavigo.com,Europe/Paris,fr
345,"Sol'R",http://www.vianavigo.com,Europe/Paris,fr
344,"Pays Fertois",http://www.vianavigo.com,Europe/Paris,fr
274,"Arlequin",http://www.vianavigo.com,Europe/Paris,fr
365,"ValBus",http://www.vianavigo.com,Europe/Paris,fr
367,"LACROIX",http://www.vianavigo.com,Europe/Paris,fr
366,"Parisis",http://www.vianavigo.com,Europe/Paris,fr
215,"Valoise",http://www.vianavigo.com,Europe/Paris,fr
405,"HOURTOULE",http://www.vianavigo.com,Europe/Paris,fr
406,"STAVO",http://www.vianavigo.com,Europe/Paris,fr
18,"CEAT",http://www.vianavigo.com,Europe/Paris,fr
919,"Génovébus",http://www.vianavigo.com,Europe/Paris,fr
112,"SITUS",http://www.vianavigo.com,Europe/Paris,fr
752,"Stigo",http://www.vianavigo.com,Europe/Paris,fr
368,"Sit'bus",http://www.vianavigo.com,Europe/Paris,fr
375,"Pays Créçois",http://www.vianavigo.com,Europe/Paris,fr
376,"Pays de l'Ourcq",http://www.vianavigo.com,Europe/Paris,fr
377,"Pep's",http://www.vianavigo.com,Europe/Paris,fr
372,"Pays de Meaux",http://www.vianavigo.com,Europe/Paris,fr
408,"ORMONT TRANSPORT",http://www.vianavigo.com,Europe/Paris,fr
407,"TRANSPORTS DANIEL MEYER",http://www.vianavigo.com,Europe/Paris,fr
448,"Autobus du Fort",http://www.vianavigo.com,Europe/Paris,fr
820,"Seine Sénart Bus",http://www.vianavigo.com,Europe/Paris,fr
418,"CARS PERRIER",http://www.vianavigo.com,Europe/Paris,fr
678,"SQYBUS",http://www.vianavigo.com,Europe/Paris,fr
119,"STIVO",http://www.vianavigo.com,Europe/Paris,fr
780,"Chavilbus",http://www.vianavigo.com,Europe/Paris,fr
275,"Réseau départemental de l'Oise",http://www.vianavigo.com,Europe/Paris,fr
326,"VyBus",http://www.vianavigo.com,Europe/Paris,fr
120,"STRAV",http://www.vianavigo.com,Europe/Paris,fr
808,"Seine-Senart Bus",http://www.vianavigo.com,Europe/Paris,fr
102,"Service Urbain de Villecresnes",http://www.vianavigo.com,Europe/Paris,fr
419,"Aérial",http://www.vianavigo.com,Europe/Paris,fr
708,"Transdev Ile-de-France Vulaines",http://www.vianavigo.com,Europe/Paris,fr
387,"Comète",http://www.vianavigo.com,Europe/Paris,fr
118,"STILL",http://www.vianavigo.com,Europe/Paris,fr
108,"Sénart-Express",http://www.vianavigo.com,Europe/Paris,fr
107,"Sénart-Bus",http://www.vianavigo.com,Europe/Paris,fr
642,"Réseau du Canton de Perthes",http://www.vianavigo.com,Europe/Paris,fr
364,"Melibus",http://www.vianavigo.com,Europe/Paris,fr
531,"CITALIEN",http://www.vianavigo.com,Europe/Paris,fr
604,"Transdev Ile-de-France Brétigny",http://www.vianavigo.com,Europe/Paris,fr
434,"Orgebus",http://www.vianavigo.com,Europe/Paris,fr
747,"Houdanais",http://www.vianavigo.com,Europe/Paris,fr
753,"Rambouillet Interurbain",http://www.vianavigo.com,Europe/Paris,fr
746,"Dourdanais",http://www.vianavigo.com,Europe/Paris,fr
507,"rbus",http://www.vianavigo.com,Europe/Paris,fr
101,"SAVAC",http://www.vianavigo.com,Europe/Paris,fr
282,"CSO",http://www.vianavigo.com,Europe/Paris,fr
605,"Transdev Ile-de-France Houdan",http://www.vianavigo.com,Europe/Paris,fr
635,"Transdev Ile-de-France Ecquevilly",http://www.vianavigo.com,Europe/Paris,fr
385,"BUS O' Mureaux",http://www.vianavigo.com,Europe/Paris,fr
611,"Conflans Achères",http://www.vianavigo.com,Europe/Paris,fr
898,"Transdev Ile-de-France Conflans",http://www.vianavigo.com,Europe/Paris,fr
14,"Bus en Seine",http://www.vianavigo.com,Europe/Paris,fr
295,"R'bus",http://www.vianavigo.com,Europe/Paris,fr
132,"Traverciel",http://www.vianavigo.com,Europe/Paris,fr
855,"Scolaire Est Yvelines",http://www.vianavigo.com,Europe/Paris,fr
397,"MONTESSON LA BOUCLE",http://www.vianavigo.com,Europe/Paris,fr
266,"Entre Seine et Forêt",http://www.vianavigo.com,Europe/Paris,fr
661,"Transdev Ile-de-France Montesson Les Rabaux",http://www.vianavigo.com,Europe/Paris,fr
330,"Resalys",http://www.vianavigo.com,Europe/Paris,fr
896,"LE BUS DIRECT",http://www.vianavigo.com,Europe/Paris,fr
412,"Ulys",http://www.vianavigo.com,Europe/Paris,fr
639,"AUTOCARS DOMINIQUE",http://www.vianavigo.com,Europe/Paris,fr
422,"LOSAY VOYAGES",http://www.vianavigo.com,Europe/Paris,fr
450,"Brie Bus",http://www.vianavigo.com,Europe/Paris,fr
417,"Plateau de Brie",http://www.vianavigo.com,Europe/Paris,fr
127,"Trans Val d'Oise",http://www.vianavigo.com,Europe/Paris,fr
471,"TICE",http://www.vianavigo.com,Europe/Paris,fr
339,"CIF",http://www.vianavigo.com,Europe/Paris,fr
557,"Goëlys",http://www.vianavigo.com,Europe/Paris,fr
15,"Bus Haut Val d'Oise",http://www.vianavigo.com,Europe/Paris,fr
651,"KVO",http://www.vianavigo.com,Europe/Paris,fr
829,"Keolis Seine Val-De-Marne",http://www.vianavigo.com,Europe/Paris,fr
906,"Val d'Essonne",http://www.vianavigo.com,Europe/Paris,fr
817,"Seine Essonne Bus",http://www.vianavigo.com,Europe/Paris,fr
741,"RER",http://www.vianavigo.com,Europe/Paris,fr
743,"TER",http://www.vianavigo.com,Europe/Paris,fr
742,"TRAIN",http://www.vianavigo.com,Europe/Paris,fr
