route_id,name,code,destination,network
r950803,Bus 112 : La Varenne–Chennevières RER → Château de Vincennes,112,Château de Vincennes,RATP
r952668,Bus 361 : Gare d'Argenteuil → Pierrefitte–Stains RER,361,Pierrefitte–Stains RER,RATP
r952689,Bus 238 : Saint-Gratien RER → Pont de Levallois,238,Pont de Levallois,RATP
r952809,Bus 255 : Porte de Clignancourt → Stains – Les Prévoyants,255,Stains–Les Prévoyants,RATP
r954974,Bus 239 : Saint-Denis–Porte de Paris → Rosa Parks–Curial,239,Rosa Parks - Curial,RATP
r954984,Bus 302 : Gare du Nord → La Courneuve - Six Routes,302,La Courneuve–Six Routes,RATP
r955019,Bus 356 : Marché des Mortefontaines (Deuil-la-Barre) → Cité Floréal (Saint-Denis),356,Cité Floréal (Saint-Denis),RATP
r968729,Bus 467 : Pont de Sèvres → Rueil-Malmaison RER,467,Rueil-Malmaison RER,RATP
r968781,Bus 141 : La Défense → Rueil-Malmaison - Saint-Cucufa,141,Saint-Cucufa,RATP
r1057568,Noctilien N45 : Hôpital de Montfermeil → Gare de l'Est,N45,Gare de l'Est,Noctilien
r1057571,Noctilien N13 : Bobigny - Pablo Picasso → Mairie d’Issy,N13,Mairie d’Issy,Noctilien
r1057572,Noctilien N14 : Mairie de Saint-Ouen → La Croix de Berny RER,N14,La Croix de Berny RER,Noctilien
r1057574,Noctilien N12 : Pont de Sèvres → Romainville–Carnot,N12,Romainville–Carnot,Noctilien
r1057575,Noctilien N23 : Châtelet → Chelles - Gournay RER,N23,Chelles - Gournay RER,Noctilien
r1057576,Noctilien N43 : Gare de l'Est → Gare de Sarcelles - Saint-Brice,N43,Gare de Sarcelles - Saint-Brice,Noctilien
r1057578,Bus 350 : Roissypole → Garonor - Porte Sud → Porte de la Chapelle,350,Porte de la Chapelle,RATP
r1066789,Bus 38 : Porte de la Chapelle → Porte d'Orléans,38,Porte d'Orléans,RATP
r1066790,Bus 38 : Porte d'Orléans → Porte de la Chapelle,38,Porte de la Chapelle,RATP
r1066841,Bus 28 : Gare Montparnasse → Porte de Clichy,28,Porte de Clichy,RATP
r1066893,Bus 28 : Porte de Clichy → Gare Montparnasse,28,Gare Montparnasse,RATP
r1083263,Bus 42 : Cours de l'Île Seguin → Gare Saint-Lazare,42,Gare Saint-Lazare,RATP
r1083264,Bus 42 : Gare Saint-Lazare → Cours de l'Île Seguin,42,Cours de l'Île Seguin,RATP
r1083315,Noctilien N21 : Hôpital de Longjumeau → Hôtel de Ville,N21,Hôtel de Ville,Noctilien
r1083316,Noctilien N122 : Saint-Rémy-lès-Chevreuse RER → Châtelet,N122,Châtelet,Noctilien
r1083331,Noctilien N01 (circulaire intérieure) : Gare de l'Est → Gare Montparnasse → Gare de l'Est,N01,Gare de l'Est,Noctilien
r1083332,Noctilien N02 (circulaire extérieure) : Gare Montparnasse → Gare de l'Est → Gare Montparnasse,N02,Gare Montparnasse,Noctilien
r1086442,Noctilien N11: Château de Vincennes → Pont de Neuilly,N11,Pont de Neuilly,Noctilien
r1086443,Noctilien N24 : Châtelet → Gare de Sartrouville,N24,Gare de Sartrouville,Noctilien
r1086658,Bus 513 : La Traverse Bièvre Montsouris,513,Alésia - Général Leclerc,RATP
r1086772,Noctilien N139 : Gare de Lyon → Corbeil-Essonnes RER,N139,Corbeil-Essonnes RER,Noctilien
r1086773,Noctilien N15 : Villejuif - Louis Aragon → Asnières - Gennevilliers - Gabriel Péri,N15,Asnières - Gennevilliers - Gabriel Péri,Noctilien
r1086774,Noctilien N145 : Gare Montparnasse → Gare de Rambouillet,N145,Gare de Rambouillet,Noctilien
r1086775,Noctilien N22 : Juvisy RER → Châtelet,N22,Châtelet,Noctilien
r1086778,Noctilien N16: Mairie de Montreuil → Pont de Levallois,N16,Pont de Levallois,Noctilien
r1086940,Bus 106 : Joinville-le-Pont RER → Villiers-sur-Marne–Le Plessis-Trévise RER,106,Villiers-sur-Marne,RATP
r1102957,Bus 106 : Villiers-sur-Marne–Le Plessis-Trévise RER → Joinville-le-Pont RER,106,Joinville-le-Pont,RATP
r1103948,Bus 33 : Les Noues RER (Circulaire) - Sens du matin,33,Les Noues RER,Roissy Ouest
r1103949,Bus 33 : Les Noues RER (Circulaire) - Sens du soir,33,Les Noues RER,Roissy Ouest
r1103950,Bus 34 : Les Noues RER (Circulaire) - Sens du soir,34,Les Noues RER,Roissy Ouest
r1103951,Bus 34 : Les Noues RER (Circulaire) - Sens du matin,34,Les Noues RER,Roissy Ouest
r1103964,Bus 11 : Marché de Saint-Denis → Victor Basch (Goussainville),11,Victor Basch (Goussainville),Roissy Ouest
r1103965,Bus 11 : Victor Basch (Goussainville) → Marché de Saint-Denis,11,Marché de Saint-Denis,Roissy Ouest
r1104172,Bus 32 : Victor Basch (Goussainville) → Roissypole → Aéroville,32,Aéroville,Roissy Ouest
r1104173,Bus 32 : Aéroville → Roissypole → Victor Basch (Goussainville),32,Victor Basch (Goussainville),Roissy Ouest
r1104193,Bus 9518 : Cergy Préfecture → Roissypole,9518,Roissypole RER,Haut Val d'Oise
r1104194,Bus 95-02 : Roissypole RER → Mairie de Montmorency,95-02,Mairie de Montmorency,Roissy Ouest
r1104195,"Bus 11.5 : Goussainville, Le Moulin → Gonesse, Collège Philippe Auguste",11.5,"Gonesse, Collège Philippe Auguste",Roissy Ouest
r1104196,Bus R106 : Institut Saint-Dominique(Montefontaine) → Calvaire(Goussainville),R106,Calvaire,Roissy Ouest
r1104689,Bus 138 : Gare d'Ermont-Eaubonne RER → Saint-Ouen RER,138,Saint-Ouen RER,RATP
r1104708,Bus 138 : Saint-Ouen RER → Gare d'Ermont-Eaubonne RER,138,Gare d'Ermont-Eaubonne RER,RATP
r1111432,Bus 117 : Champigny - Saint-Maur RER → Créteil - Préfecture du Val-de-Marne,117,Créteil Préfecture,RATP
r1111461,Bus 117 : Créteil - Préfecture du Val-de-Marne → Champigny - Saint-Maur RER,117,Champigny St-Maur RER,RATP
r1111469,Bus 111 : Champigny–Saint-Maur RER → Terroirs de France,111,Terroirs de France,RATP
r1111499,Bus 111 : Terroirs de France → Champigny–Saint-Maur RER,111,Saint-Maur - Champigny RER,RATP
r1111806,Bus 317 : Hôtel de Ville de Créteil → Nogent Le Perreux RER,317,Nogent Le Perreux RER,RATP
r1111814,Bus 306 : Saint-Maur Créteil RER → Noisy-le-Grand RER,306,Noisy-le-Grand RER,RATP
r1112237,Bus 112 : Château de Vincennes → La Varenne–Chennevières RER,112,La Varenne - Chennevières RER,RATP
r1189561,Bus 112 : Espinard → Stade de la Faisanderie,112,Stade de la Faisanderie,Fontainebleau - Moret
r1189795,"Bus 112 : Fontainebleau, François 1er → Espinard",112,Espinard,Fontainebleau - Moret
r1207846,Bus 137 : Porte de Clignancourt–Croisset → Villeneuve-la-Garenne ZI Nord,137,Villeneuve-la-Garenne ZI Nord,RATP
r1236060,"Bus 401 : Corbeil-Essonnes Gare RER → Saint-Michel-sur-Orge, Rue Berlioz",401,"Saint-Michel-sur-Orge, Rue Berlioz",Évry Centre Essonne
r1239821,Bus 4303 : Gare de Ballancourt (circulaire soir),4303,Gare de Ballancourt,Essonne Sud Est
r1240493,Bus 202 : Brétigny-sur-Orge Gare Place (circulaire via Vert-le-Grand puis Bondoufle),202,Gare de Brétigny-sur-Orge - Place,Cœur d'Essonne
r1245269,Bus 91 : Gare du Nord → Montparnasse 2 - Gare TGV,91,Montparnasse 2 - Gare TGV,RATP
r1245270,Bus 91 : Montparnasse 2 - Gare TGV → Gare du Nord,91,Gare du Nord,RATP
r1245873,Bus 88 : Montsouris - Tombe Issoire → Porte d'Auteuil,88,Porte d'Auteuil,RATP
r1245874,Bus 88 : Porte d'Auteuil → Montsouris - Tombe Issoire,88,Montsouris - Tombe Issoire,RATP
r1246518,Bus 95 : Porte de Vanves → Porte de Montmartre,95,Porte de Montmartre,RATP
r1246519,Bus 95 : Porte de Montmartre → Porte de Vanves,95,Porte de Vanves,RATP
r1246561,Bus 94 : Pont de Levallois - Bécon → Gare Montparnasse,94,Gare Montparnasse,RATP
r1246562,Bus 94 : Gare Montparnasse → Pont de Levallois - Bécon,94,Pont de Levallois - Bécon,RATP
r1246572,Bus 96 : Gare Montparnasse → Porte des Lilas-Métro,96,Porte des Lilas-Métro,RATP
r1246573,Bus 96 : Porte des Lilas-Métro → Gare Montparnasse,96,Gare Montparnasse,RATP
r1246636,Bus 92 : Porte de Champerret → Porte d'Orléans,92,Porte d'Orléans,RATP
r1246637,Bus 92 : Porte d'Orléans → Porte de Champerret,92,Porte de Champerret,RATP
r1246644,Bus 89 : Gare de Vanves-Malakoff → Porte de France,89,Porte de France,RATP
r1246645,Bus 89 : Porte de France → Gare de Vanves-Malakoff,89,Gare de Vanves-Malakoff,RATP
r1246683,Bus 93 : Invalides → Suresnes - De Gaulle,93,Suresnes - De Gaulle,RATP
