route_reference,stop_reference,route_short_name,stop_lat,stop_lon,stop_name,name,lat,lon,stop_id,route_id,line_id
C00620,15351,12,48.88831294004914,2.7241198155910027,Sente des Vignes,Sente des Vignes,48.8883107,2.7239845,StopPoint:node:1636251753,Route:relation:3069536,Line:relation:6991440
C00620,15426,12,48.888362306078406,2.7107414077208887,Paul Doumer,Paul Doumer,48.888371,2.7106456999999997,StopPoint:node:1633681322,Route:relation:3069536,Line:relation:6991440
C00620,15469,12,48.88953601193919,2.7202539063451545,Les Ifs,Les Ifs,48.889568499999996,2.720351,StopPoint:node:2991570046,Route:relation:3069536,Line:relation:6991440
C00620,15533,12,48.89035759695586,2.717794692667117,Côteaux,Les Coteaux,48.8904005,2.7178340999999997,StopPoint:node:1636257214,Route:relation:3069536,Line:relation:6991440
C00620,15670,12,48.88428732235802,2.7140094559778984,Général Leclerc,Général Leclerc,48.884278599999995,2.7143102,StopPoint:node:1636250836,Route:relation:3069536,Line:relation:6991440
C00620,15695,12,48.88679126451029,2.71945044126417,Cimetière,Cimetière,48.8866863,2.71951,StopPoint:node:1636250835,Route:relation:3069536,Line:relation:6991440
C00620,15702,12,48.88608455672516,2.7172178369421154,Victor Hugo,Victor Hugo,48.8860713,2.7171661,StopPoint:node:1636250837,Route:relation:3069536,Line:relation:6991440
C00620,21144,12,48.882512252081135,2.7088512639334144,Gare de Lagny Thorigny (Rue R. Poincaré),Gare de Lagny - Thorigny (Rue Poincaré),48.8825521,2.7093819,StopPoint:node:4848176379,Route:relation:3069536,Line:relation:6991440
C00620,462720,12,48.88230486057717,2.7049526204779872,Passerelle (accès SNCF),Thorigny-sur-Marne - Passerelle (accès SNCF),48.8822549,2.7049032,StopPoint:node:9909976180,Route:relation:3069536,Line:relation:6991440
C00621,15334,13,48.82894805660614,2.6805720286939443,Portes de la Forêt,Portes de la Forêt,48.8289932,2.680692,StopPoint:node:2997349900,Route:relation:2545213,Line:relation:6116962
C00621,15335,13,48.82915722905364,2.681442541653926,Portes de la Forêt,Portes de la Forêt,48.8291411,2.681415,StopPoint:node:2997349901,Route:relation:6116961,Line:relation:6116962
C00621,15340,13,48.83318041654149,2.6759007045307763,Pré Longuet,Pré Longuet,48.8332577,2.67585,StopPoint:node:2094216252,Route:relation:2545213,Line:relation:6116962
C00621,15341,13,48.83364755225737,2.675707078646286,Pré Longuet,Pré Longuet,48.8336726,2.6756729999999997,StopPoint:node:2094216251,Route:relation:6116961,Line:relation:6116962
C00621,15344,13,48.83740422106491,2.6714602816992588,Poste,Collégien - Poste,48.8374472,2.6713492999999997,StopPoint:node:2094216225,Route:relation:2545213,Line:relation:6116962
C00621,15345,13,48.83784309410115,2.6708035602247895,Poste,Collégien - Poste,48.8378082,2.6708317999999998,StopPoint:node:2094216228,Route:relation:6116961,Line:relation:6116962
C00621,15419,13,48.82883667309749,2.6792786489386353,Des Carrières,Des Carrières,48.828844,2.679312,StopPoint:node:5914093626,Route:relation:2545213,Line:relation:6116962
C00621,15419,13,48.82883667309749,2.6792786489386353,Des Carrières,Des Carrières,48.828844,2.679312,StopPoint:node:5914093626,Route:relation:6116961,Line:relation:6116962
