line_id,code,name,network,operator,colour,osm:type,mode,osm:ref:FR:STIF:ExternalCode_Line
Line:relation:6949602,E2,Bus E2 : Collège Pompidou ↔ Plaine Haute (Crosne),VyBus,Transdev STRAV,#FBC322,route_master,bus,045045006:E2
Line:relation:6949604,V,Bus V : Gare de Montgeron ↔ Clos de la Régale (Vigneux-sur-Seine),VyBus,Transdev STRAV,,route_master,bus,045045008:V
Line:relation:6949654,N135,Noctilien N135: Gare de Villeneuve-Saint-Georges ↔ Corbeil Essonnes,Noctilien,Transilien,#15489e,route_master,bus,800:N135
Line:relation:6950503,N153,Noctilien N153: Gare Saint-Lazare ↔ Gare de Saint-Germain-en-Laye,Noctilien,SNCF Transilien,,route_master,bus,100987791:N153
Line:relation:6950504,N151,Noctilien N151 : Gare Saint-Lazare ↔ Gare de Mantes la Jolie,Noctilien,Transilien,,route_master,bus,800:N151
Line:relation:6952110,95-01,Bus 95-01 : Roissypole (RER) ↔ Luzarches,Busval d'Oise,Keolis CIF,#4DEDFF,route_master,bus,014195001:95-01
Line:relation:6953405,95-05,Bus 95-05 : Frouville ↔ Gare de Cergy-Préfecture,Busval d'Oise,CeoBus,#00FFFF,route_master,bus,025195005:95-05
Line:relation:6953807,N142,Noctilien N142: Gare de l’Est ↔ Tournan RER,Noctilien,Transilien,#D17FB5,route_master,bus,800:N142
Line:relation:6954049,95-06,Bus 95-06 : Arronville ↔ Cergy Préfecture / RER,Busval d'Oise,CeoBus,#00A6FF,route_master,bus,025195006:95-06
Line:relation:6954593,128,Bus 128 : Porte d'Orléans ↔ Robinson RER,RATP,RATP,#8D653A,route_master,bus,100100128:128
Line:relation:6955407,N41,Noctilien N41: Gare de l’Est ↔ Villeparisis - Mitry-le-Neuf RER,Noctilien,RATP,#F59EB3,route_master,bus,100987772:N41
Line:relation:6955494,N42,Noctilien N42: Gare de l’Est ↔ Aulnay–Garonor,Noctilien,RATP,#E0B03A,route_master,bus,100987755:N42
Line:relation:6955549,N43,Noctilien N43: Gare de l’Est ↔ Gare de Sarcelles–Saint-Brice,Noctilien,RATP,#F78F4B,route_master,bus,100987766:N43
Line:relation:6955630,N44,Noctilien N44: Gare de l’Est ↔ Garges-Sarcelles RER,Noctilien,RATP,#77C695,route_master,bus,100987754:N44
Line:relation:6955761,N45,Noctilien N45: Hôpital de Montfermeil ↔ Gare de l’Est,Noctilien,RATP,#FFCD02,route_master,bus,100987765:N45
Line:relation:6956211,N71,Noctilien N71: Marché International de Rungis ↔ Val de Fontenay RER,Noctilien,RATP,#BB4A9B,route_master,bus,100987771:N71
Line:relation:6956361,N63,Noctilien N63 : Gare Montparnasse ↔ Massy–Palaiseau RER,Noctilien,RATP,#CEC92A,route_master,bus,100987769:N63
Line:relation:6956562,N122,Noctilien N122: Châtelet ↔ Saint-Rémy-lès-Chevreuse RER,Noctilien,Transilien,#4D90CD,route_master,bus,100987790:N122
Line:relation:6956787,N131,Noctilien N131: Gare de Lyon ↔ Brétigny RER,Noctilien,Transilien,#FFE300,route_master,bus,800:N131
Line:relation:6956807,N133,Noctilien N133: Gare de Lyon ↔ Juvisy RER,Noctilien,Transilien,#FFDC1C,route_master,bus,800:N133
Line:relation:6956998,N140,Noctilien N140: Gare de l’Est ↔ Roissypole,Noctilien,Transilien,#4D90CD,route_master,bus,800:N140
Line:relation:6957009,N143,Noctilien N143: Gare de l’Est ↔ Roissypole,Noctilien,Transilien,#4D90CD,route_master,bus,800:N143
Line:relation:6957037,N144,Noctilien N144: Gare de l’Est ↔ Corbeil-Essonnes RER,Noctilien,Transilien,#00AB66,route_master,bus,800:N144
Line:relation:6957057,N145,Noctilien N145: Gare de l’Est ↔ Gare de La Verrière,Noctilien,Transilien,#0AA896,route_master,bus,800:N145
Line:relation:6957244,19,Bus 19 : Aéroport CDG T3 - Roissypole ↔ Torcy RER,Seine-et-Marne Express,Transdev AMV,#ff0000,route_master,bus,051377019:19
Line:relation:6957245,18,Bus 18 : Gare de Melun ↔ Gare de Meaux,Seine-et-Marne Express,Transdev AMV,,route_master,bus,051177018:18
Line:relation:6957303,17,Bus 17 : Chessy RER ↔ Coulommiers ↔ La Ferté Gaucher,Seine-et-Marne Express,Darche Gros,#66B5E0,route_master,bus,097177017:17
Line:relation:6957304,46,Bus 46 : Gare de Montereau ↔ Gare de Melun,Seine-et-Marne Express,Transdev Île-de-France Vulaines,,route_master,bus,062062046:46
Line:relation:6957305,EXPRESS34,Bus EXPRESS34 : Gare de Melun ↔ Chateau-Landon ou Egreville,Seine-et-Marne Express,Transdev Ile-de-France Nemours,,route_master,bus,064177034:EXPRESS34
Line:relation:6957343,18,Bus 18 : Gare de Torcy ↔ De Gaulle (Tournan-en-Brie),Stigo,Transdev N4 Mobilités,,route_master,bus,003003018:18
Line:relation:6958361,N150,Noctilien N150 : Gare Saint-Lazare ↔ Cergy-le-Haut RER,Noctilien,Transilien,#ED1C29,route_master,bus,800:N150
Line:relation:6958366,N152,Noctilien N152: Gare Saint-Lazare ↔ Cergy RER,Noctilien,Transilien,#ED1C29,route_master,bus,800:N152
Line:relation:6958414,N154,Noctilien N154: Gare Saint-Lazare ↔ Montigny–Beauchamp RER,Noctilien,Transilien,#FFDC1C,route_master,bus,800:N154
Line:relation:6970689,95-08,Bus 95-08 : Chars ↔ Marines ↔ Gare de Cergy-Préfecture,Busval d'Oise,Ceobus,#8FBF00,route_master,bus,025195008:95-08
Line:relation:6972206,644,Bus 644 : Gutenberg - Lycée Boulloche ↔ Collège Henri IV (Vaujours),Seine-Saint-Denis,Transdev TRA,#76c695,route_master,bus,293193644:644
Line:relation:6972217,640,Bus 640 : Parc des Expositions (circulaire),Seine-Saint-Denis,Transdev TRA,,route_master,bus,293193640:640
Line:relation:6972224,637,Bus 637 : Gare d'Aulnay-sous-Bois (circulaire),Seine-Saint-Denis,Transdev TRA,,route_master,bus,293193637:637
Line:relation:6972324,613,Bus 613 : Gare d'Aulnay-sous-Bois ↔ Gare de Chelles-Gournay,Seine-Saint-Denis,Transdev TRA,#097A47,route_master,bus,293193613:613
Line:relation:6972327,Express 100,Bus Express 100 Chelles : Roissypole ↔ Chelles - Rond-Point des Sciences,Keolis Mobilité Roissy,Keolis Mobilité Roissy,,route_master,bus,116193100:100C
Line:relation:6980341,37,Bus 37 : Gare d'Epinay-sur-Seine ↔ Les Flanades,VALMY,Transdev TVO,,route_master,bus,016016037:37
Line:relation:6985621,91-08,Bus 91-08 : Centre Commercial (Vélizy) ↔ Fresnel - Vauve (Palaiseau) ou Mairie des Ulis,Albatrans,Albatrans,#55BEE9,route_master,bus,291191008:91-08
Line:relation:6991408,623,Bus 623 : Gare de Sevran-Livry Sud ↔ Gare de Gagny,Seine-Saint-Denis,Transdev TRA,#87d3df,route_master,bus,293193623:623
Line:relation:6991440,12,Bus 12 : Gare de Lagny Thorigny (circulaire),Pep's,Transdev AMV,#B567A2,route_master,bus,051051012:12
Line:relation:6991441,07,Bus 07 : Gare de Lagny Thorigny ↔ Pomponette,Pep's,Transdev AMV,#9DCBD1,route_master,bus,051051007:07
Line:relation:6991442,04,Bus 04 : Poincaré SNCF ↔ Cornilliot SNCF,Pep's,Transdev AMV,#E7AE12,route_master,bus,051051014:04
Line:relation:6993738,95-07,Bus 95-07 : Jouy le Comte Eglise ↔ Gare de Cergy-Préfecture,Busval d'Oise,CeoBus,#00FF00,route_master,bus,025195007:95-07
Line:relation:6994039,32,Bus 32 : Gare de Tournan ↔ Gare de Val d'Europe,Pep's,Transdev AMV,#D0662C,route_master,bus,051051032:32
Line:relation:7003010,23,Bus 23 : Gare de Lagny ↔ Gare de Marne-la-Vallée Chessy,Pep's,Transdev AMV,#C83086,route_master,bus,051051023:23
