,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
200,StopPoint:48:5741,003003011:11,426346,Gare d'Ozoir,Haras Campus St Thèrèse,StopPoint:Node:5392632079,003003011:11,426346,Gare d'Ozoir,Campus Saint-Thèrèse,15963.264680511329
619,StopPoint:48:5741,003351504:A,426346,Centre Commercial,Haras Campus St Thèrèse,StopPoint:Node:5392632079,003351504:A,426346,Centre Commercial (Pontault-Combault),Campus Saint-Thèrèse,15963.264680511329
18318,StopPoint:58:628,052052112:12,13582,Cergy Prefecture,Le Parc,StopPoint:Node:4326532425,052052112:12,13582,Gare de Cergy-Préfecture,Le Parc,3454.799207717703
25960,StopPoint:14:14845,073073001:25,10101,GARE D'ETAMPE,Mairie,StopPoint:Node:5866597684,073073001:25,10101,Gare d'Etampes,Mairie (Saclas),3353.713015606856
25963,StopPoint:14:14846,073073001:25,10102,GARE DE PITHIVIERS,Mairie,StopPoint:Node:5866597656,073073001:25,10102,Gare de Pithiviers,Mairie (Saclas),3348.2317563985152
51736,StopPoint:12:3667,208258008:208,16126,Cour des Adieux,Avenue de Fontainebleau,StopPoint:Node:4528007694,208258008:208,16126,Cour des Adieux (Fontainebleau),Avenue de Fontainebleau,1176.62236267955
25965,StopPoint:14:14923,073073001:25,12412,GARE D'ETAMPE,CFA,StopPoint:Node:5866598042,073073001:25,12412,Gare d'Etampes,CFA,1123.929576814648
25968,StopPoint:14:14924,073073001:25,12413,GARE DE PITHIVIERS,CFA,StopPoint:Node:5866598013,073073001:25,12413,Gare de Pithiviers,CFA,1103.6688893754422
26153,StopPoint:54:10183,084284007:284-007,7340,GARE DE BOUTIGNY SUR ESSONNE,Eglise,StopPoint:Node:5786579857,084284007:284-007,7340,Gare de Boutigny-sur-Essonne,Église,1080.4333943105978
25982,StopPoint:14:8530,073073001:25,5000,GARE D'ETAMPE,Bierreville,StopPoint:Node:5719574489,073073001:25,5000,Gare d'Etampes,Bierville,1074.697635883644
25985,StopPoint:14:8531,073073001:25,5001,GARE DE PITHIVIERS,Bierreville,StopPoint:Node:5719574481,073073001:25,5001,Gare de Pithiviers,Bierville,1058.606371964045
25976,StopPoint:14:14929,073073001:25,20177,GARE D'ETAMPE,Boigny D49,StopPoint:Node:5866597675,073073001:25,20177,Gare d'Etampes,Boigny D49,1037.4266514446128
25972,StopPoint:14:14927,073073001:25,20175,GARE DE PITHIVIERS,Boigny D49,StopPoint:Node:5719574479,073073001:25,20175,Gare de Pithiviers,Boigny D49,1014.8140479803213
26155,StopPoint:54:10189,084284007:284-007,7344,GARE DE BOUTIGNY SUR ESSONNE,Le Puits,StopPoint:Node:5786663253,084284007:284-007,7344,Gare de Boutigny-sur-Essonne,Le Puits,894.0449569771766
10443,StopPoint:3:1067,024309301:301,422593,Terminal David Douillet,Maison de retraite,StopPoint:Node:5932521585,024309301:301,422593,Terminal David Douillet,Maison de Retraite,791.6143666640338
17888,StopPoint:58:580,052052003:3,13570,Arquebuse,Cherbourg,StopPoint:Node:6223585997,052052003:3,13570,Arquebuse,Cherbourg,729.774905920325
