,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
19180,StopPoint:58:628,052052112:12,13582,Cergy Prefecture,Le Parc,StopPoint:node:4326532425,052052112:12,13582,Gare de Cergy-Préfecture,Le Parc,3454.799207717703
59969,StopPoint:12:3667,208258008:208,16126,Cour des Adieux,Avenue de Fontainebleau,StopPoint:node:4528007694,208258008:208,16126,Cour des Adieux (Fontainebleau),Avenue de Fontainebleau,1176.62236267955
26944,StopPoint:14:14923,073073001:25,12412,GARE D'ETAMPE,CFA,StopPoint:node:5866598042,073073001:25,12412,Gare d'Etampes,CFA,1123.929576814648
26947,StopPoint:14:14924,073073001:25,12413,GARE DE PITHIVIERS,CFA,StopPoint:node:5866598013,073073001:25,12413,Gare de Pithiviers,CFA,1103.6688893754422
27154,StopPoint:54:10183,084284007:284-007,7340,GARE DE BOUTIGNY SUR ESSONNE,Eglise,StopPoint:node:5786579857,084284007:284-007,7340,Gare de Boutigny-sur-Essonne,Église,1080.4333943105978
26961,StopPoint:14:8530,073073001:25,5000,GARE D'ETAMPE,Bierreville,StopPoint:node:5719574489,073073001:25,5000,Gare d'Etampes,Bierville,1074.697635883644
26964,StopPoint:14:8531,073073001:25,5001,GARE DE PITHIVIERS,Bierreville,StopPoint:node:5719574481,073073001:25,5001,Gare de Pithiviers,Bierville,1058.606371964045
26955,StopPoint:14:14929,073073001:25,20177,GARE D'ETAMPE,Boigny D49,StopPoint:node:5866597675,073073001:25,20177,Gare d'Etampes,Boigny D49,1037.4266514446128
26951,StopPoint:14:14927,073073001:25,20175,GARE DE PITHIVIERS,Boigny D49,StopPoint:node:5719574479,073073001:25,20175,Gare de Pithiviers,Boigny D49,1014.8140479803213
27156,StopPoint:54:10189,084284007:284-007,7344,GARE DE BOUTIGNY SUR ESSONNE,Le Puits,StopPoint:node:5786663253,084284007:284-007,7344,Gare de Boutigny-sur-Essonne,Le Puits,894.0449569771766
11537,StopPoint:3:1067,024309301:301,422593,Terminal David Douillet,Maison de retraite,StopPoint:node:5932521585,024309301:301,422593,Terminal David Douillet,Maison de Retraite,791.6143666640338
18738,StopPoint:58:580,052052003:3,13570,Arquebuse,Cherbourg,StopPoint:node:6223585997,052052003:3,13570,Arquebuse,Cherbourg,729.774905920325
57519,StopPoint:59:6673084,100987790:N122,26624,CHATELET,11 NOVEMBRE - COURCELLE-SUR-YVETTE RER,StopPoint:node:5183482463,100987790:N122,26624,Châtelet,11 Novembre - Courcelles-sur-Yvette RER,726.7270105242388
57520,StopPoint:59:6673085,100987790:N122,26623,SAINT-REMY-LES-CHEVREUSE RER,11 NOVEMBRE - COURCELLE-SUR-YVETTE RER,StopPoint:node:5183482464,100987790:N122,26623,Saint-Rémy-lès-Chevreuse RER,11 Novembre - Courcelles-sur-Yvette RER,710.3277423389704
25097,StopPoint:29:667,065487110:53,418868,COMBS LA VILLE-QUINCY GARE RER,ECOPOLE RIO,StopPoint:node:3544901232,065487110:53,418868,Combs-la-Ville - Quincy Gare RER,Écopôle Rio,692.7836400640101
25178,StopPoint:29:667,065487128:26,418868,LIEUSAINT  MOISSY GARE RER,ECOPOLE RIO,StopPoint:node:3544901232,065487128:26,418868,Lieusaint - Moissy Gare RER,Écopôle Rio,692.7836400640101
66859,StopPoint:8797735:800:N135,800:N135,41399,VILLENEUVE ST GEORGES NOCTILIEN,TARTERETS,StopPoint:node:6163714396,800:N135,41399,Gare de Villeneuve-Saint-Georges,Tarterêts Noctilien - Avenue Strathkelvin,672.7498785612413
24655,StopPoint:29:663,065065050:50,40574,EVRY  COURCOURRONNES GARE RER,Rond Point de l'Hôpital,StopPoint:node:1810647129,065065050:50,40574,Évry - Courcourronnes Gare RER,Rond-Point de l'Hôpital,663.0727438495846
25096,StopPoint:29:666,065487110:53,418871,LIEUSAINT  MOISSY GARE RER,ECOPOLE RIO,StopPoint:node:3544901231,065487110:53,418871,Lieusaint - Moissy Gare RER,Écopôle Rio,649.3205670984969
25177,StopPoint:29:666,065487128:26,418871,LIEUSAINT  MOISSY GARE RER,ECOPOLE RIO,StopPoint:node:3544901231,065487128:26,418871,Lieusaint - Moissy Gare RER,Écopôle Rio,649.3205670984969
18741,StopPoint:58:581,052052003:3,13571,Gare de Saint Germain en Laye,Cherbourg,StopPoint:node:6223586030,052052003:3,13571,Gare de Saint-Germain-en-Laye,Cherbourg,640.2149612185622
27158,StopPoint:54:10191,084284007:284-007,7346,GARE DE BOUTIGNY SUR ESSONNE,Scierie,StopPoint:node:1776554305,084284007:284-007,7346,Gare de Boutigny-sur-Essonne,Scierie,614.1418455374024
24656,StopPoint:29:664,065065050:50,40575,LIEUSAINT  MOISSY GARE RER,Rond Point de l'Hôpital,StopPoint:node:1810647128,065065050:50,40575,Lieusaint - Moissy Gare RER,Rond-Point de l'Hôpital,554.6130126435902
26783,StopPoint:46:14708,068913050:91350,3688,Gare RER,La Martinière,StopPoint:node:2678470871,068913050:91350,3688,Gare d'Etrechy,La Martinière,541.0955117099372
66733,StopPoint:8759046:800:N132,800:N132,411300,GARE DE LYON NOCTILIEN,MAISONS ALFORT ALFORTVILLE NOCTILIEN,StopPoint:node:6161038762,800:N132,411300,Gare de Lyon,Maisons-Alfort - Alfortville Noctilien,528.4249494443553
66811,StopPoint:8759046:800:N134,800:N134,411300,GARE DE LYON NOCTILIEN,MAISONS ALFORT ALFORTVILLE NOCTILIEN,StopPoint:node:6161038762,800:N134,411300,Gare de Lyon,Maisons-Alfort - Alfortville Noctilien,528.4249494443553
66875,StopPoint:8799149:800:N135,800:N135,41451,CORBEIL ESSONNES NOCTILIEN,DRAVEIL EGLISE,StopPoint:node:6147075500,800:N135,41451,Corbeil Essonnes,Église (Draveil),511.7946497553101
66876,StopPoint:8799149:800:N135,800:N135,41451,VILLENEUVE ST GEORGES NOCTILIEN,DRAVEIL EGLISE,StopPoint:node:6148128893,800:N135,41451,Gare de Villeneuve-Saint-Georges,Église (Draveil),508.55165433659613
9111,StopPoint:18:7,016248022:G,460444,GARE DE SARTROUVILLE,STRASBOURG,StopPoint:node:5761221473,016248022:G,460444,Gare de Sartrouville,Strasbourg,507.67165781920045
49895,StopPoint:59:7827032,100100389:389,12835,GEORGES POMPIDOU,PONT DE BILLANCOURT,StopPoint:node:3560631754,100100389:389,12835,Clamart - Georges Pompidou,Place Jules Guesde,502.0708269621532
7160,StopPoint:6:226,014077708:708,423534,Beaupre,Les Tournelles,StopPoint:node:5714049565,014077708:708,423534,Beaupré,ZA Fontaine des Tournelles,498.40210860834134
7191,StopPoint:6:226,014077709:709,423534,Condé,Les Tournelles,StopPoint:node:5714049565,014077709:709,423534,Condé,ZA Fontaine des Tournelles,498.40210860834134
7190,StopPoint:6:225,014077709:709,423756,Dammartin - Juilly - Saint-Mard Gare,Les Tournelles,StopPoint:node:3039196316,014077709:709,423756,Dammartin - Juilly - Saint-Mard Gare,ZA Fontaine des Tournelles,487.00083826238233
7159,StopPoint:6:225,014077708:708,423756,Dammartin - Juilly - Saint-Mard Gare,Les Tournelles,StopPoint:node:3039196316,014077708:708,423756,Dammartin - Juilly - Saint-Mard Gare,ZA Fontaine des Tournelles,487.00083826238233
25538,StopPoint:27:675,066066034:O,427276,CHAMLYS,CROIX BLANCHE,StopPoint:node:6212717717,066066034:O,427276,Chamlys,Croix Blanche,481.3074539333754
25539,StopPoint:27:676,066066034:O,427275,Cesson Gare RER,CROIX BLANCHE,StopPoint:node:6212717753,066066034:O,427275,Cesson Gare RER,Croix Blanche,478.2258762922303
66663,StopPoint:8798650:800:N130,800:N130,41430,MARNE LA VALLEE CHESSY NOCTILIEN,MINISTERE DES FINANCES POPB,StopPoint:node:2042462007,800:N130,41430,Marne-la-Vallée - Chessy RER,Bercy-Arena,444.57381911661577
48061,StopPoint:59:5944517,100100330:330,23587,FORT D'AUBERVILLIERS,PARC HENRI BARBUSSE,StopPoint:node:6272936838,100100330:330,23587,Fort d’Aubervilliers,Parc Henri Barbusse,443.5750045022384
8332,StopPoint:23:813,015015027:27,14087,Allée de Tillet,Tuilerie,StopPoint:node:5404137370,015015027:27,14087,Allée du Tillet (Bailly),Tuilerie,442.78634473007634
