,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_dest_name,gtfs_stop_name,osm_stop_id,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_osm:ref:FR:STIF,osm_destination,osm_name,distance
24379,StopPoint:59:4009076,100100170:170,26504,PORTE DES LILAS,RUE DU PROGRES,StopPoint:Node:1455100864,100100170:170,26504,Porte des Lilas,Rue du Progrès,71.30136571739092
24382,StopPoint:59:4009079,100100170:170,26496,PORTE DES LILAS,HEURTAULT,StopPoint:Node:1455100854,100100170:170,26496,Porte des Lilas,Heurtault,83.73352596027776
24475,StopPoint:59:5688817,100100172:172,420273,HOPITAL HENRI MONDOR,VILLEJUIF - LOUIS ARAGON,StopPoint:Node:1938072902,100100172:172,420273,Hôpital Henri Mondor,Villejuif–Louis Aragon,88.27456243408211
24622,StopPoint:59:7676481,100100180:180,36141,CHARENTON-ECOLES,HOTEL DE VILLE DE VITRY,StopPoint:Node:2076655388,100100180:180,36141,Charenton – Écoles,Hôtel de Ville de Vitry-Roger Derry,112.99123819917594
24624,StopPoint:59:7676482,100100180:180,37166,CHARENTON-ECOLES,AUDIGEOIS,StopPoint:Node:2074591588,100100180:180,37166,Charenton – Écoles,Audigeois,72.54187575909663
24664,StopPoint:59:7153120,100100183:183,413123,AEROPORT D'ORLY-TERMINAL SUD,COEUR D'ORLY,StopPoint:Node:2281799940,100100183:183,413123,Aéroport d'Orly - Terminal Sud,Cœur d'Orly,195.44710632023816
24665,StopPoint:59:7153121,100100183:183,413124,PORTE DE CHOISY,COEUR D'ORLY,StopPoint:Node:5979569885,100100183:183,413124,Porte de Choisy,Cœur d'Orly,200.79394460839168
24666,StopPoint:59:7153146,100100183:183,413125,PORTE DE CHOISY,CAROLINE AIGLE,StopPoint:Node:5979568584,100100183:183,413125,Porte de Choisy,Caroline Aigle,71.61032628762851
24722,StopPoint:59:7275415,100100184:184,28582,PASTEUR,COUSIN DE MERICOURT,StopPoint:Node:5979569905,100100184:184,28582,Fresnes Pasteur,Cousin de Méricourt,78.55024492774507
24742,StopPoint:59:4036808,100100185:185,26737,CHOISY SUD,DISPENSAIRE DANIELLE CASANOVA,StopPoint:Node:3692920725,100100185:185,26737,Choisy Sud,Dispensaire Danielle Casanova,123.02625601388586
24745,StopPoint:59:4378048,100100185:185,36702,PORTE D'ITALIE - HELENE BOUCHER,VILLEJUIF - LOUIS ARAGON,StopPoint:Node:1964639959,100100185:185,36702,Porte d'Italie,Villejuif - Louis Aragon,97.94471147227019
24751,StopPoint:59:4378363,100100185:185,29848,CHOISY SUD,VILLEJUIF - LOUIS ARAGON,StopPoint:Node:3647120644,100100185:185,29848,Choisy Sud,Villejuif - Louis Aragon,137.94467781114304
24806,StopPoint:59:7153082,100100185:185,26736,CHOISY SUD,JEAN JAURES,StopPoint:Node:3889758396,100100185:185,26736,Choisy Sud,Jean Jaurès,181.8466564979666
24818,StopPoint:59:3786132,100100186:186,23187,ROND-POINT ROOSEVELT,LOUIS BLERIOT - CIMETIERE INTERCOMMUNAL,StopPoint:Node:4357794975,100100186:186,23187,Fresnes — Rond-Point Roosevelt,Louis Blériot - Cimetière Intercommunal,71.81078761010163
24863,StopPoint:59:4889630,100100188:188,28146,PORTE D'ORLEANS,MARTYRS DE CHATEAUBRIANT,StopPoint:Node:3585969818,100100188:188,28146,Porte d'Orléans,Martyrs de Châteaubriant,77.35244511402925
24867,StopPoint:59:4889645,100100188:188,30016,ROSENBERG,RUE DES BRUGNAUTS,StopPoint:Node:3601432412,100100188:188,30016,Bagneux–Rosenberg,Rue des Brugnauts,95.38638754210831
24877,StopPoint:59:4889656,100100188:188,22873,PORTE D'ORLEANS,LES BAS COQUARTS,StopPoint:Node:3601432410,100100188:188,22873,Porte d'Orléans,Les Bas Coquarts,90.37378309640702
24943,StopPoint:59:6682588,100100189:189,26801,PORTE DE SAINT-CLOUD-METRO,JARDIN PARISIEN - HOPITAL ANTOINE BECLERE,StopPoint:Node:5337339672,100100189:189,26801,Porte de Saint-Cloud,Jardin Parisien-Hôpital Antoine Beclère,79.54923499510551
24947,StopPoint:59:6682626,100100189:189,22619,GEORGES POMPIDOU,CIMETIERE INTERCOMMUNAL,StopPoint:Node:3552405533,100100189:189,22619,Georges Pompidou (Clamart),Cimetière Intercommunal,78.69637536196447
24964,StopPoint:59:7275639,100100189:189,19706,PORTE DE SAINT-CLOUD-METRO,RUE DE CHATILLON,StopPoint:Node:5905125010,100100189:189,19706,Porte de Saint-Cloud,Rue de Châtillon,94.64918198035296
25027,StopPoint:59:6682588,100100190:190,26801,MAIRIE D'ISSY-METRO,JARDIN PARISIEN - HOPITAL ANTOINE BECLERE,StopPoint:Node:5337339672,100100190:190,26801,Mairie d'Issy,Jardin Parisien-Hôpital Antoine Beclère,79.54923499510551
25060,StopPoint:59:6682626,100100190:190,22619,EGLISE DE MEUDON-LA-FORET,CIMETIERE INTERCOMMUNAL,StopPoint:Node:3552405533,100100190:190,22619,Église de Meudon-la-Forêt,Cimetière Intercommunal,78.69637536196447
25116,StopPoint:59:3686371,100100192:192,27280,ROBINSON RER,CIMETIERE PARISIEN DE THIAIS,StopPoint:Node:5979593755,100100192:192,27280,Robinson RER,Cimetière Parisien de Thiais,81.48656957183867
25123,StopPoint:59:4471795,100100192:192,29856,MARCHE INTERNATIONAL DE RUNGIS,AUGUSTE PERRET,StopPoint:Node:5406873965,100100192:192,29856,Marché International de Rungis,Auguste Perret,84.11326362378693
25374,StopPoint:59:3764007,100100197:197,8207,PORTE D'ORLEANS-METRO,PONT D'ANTONY,StopPoint:Node:1606161294,100100197:197,8207,Porte d'Orléans,Pont d'Antony,95.29337757396758
25418,StopPoint:59:7275199,100100197:197,8208,PORTE D'ORLEANS-METRO,LES COTTAGES,StopPoint:Node:930358508,100100197:197,8208,Porte d'Orléans,Les Cottages,102.69933959868618
25677,StopPoint:59:4614685,100100221:221,7824,POINTE DE GOURNAY,MEISSONIER,StopPoint:Node:1999250006,100100221:221,7824,Gagny - Pointe de Gournay,Meissonier,108.7419944081707
25731,StopPoint:59:5121493,100100238:238,12420,SAINT-GRATIEN - RER,BASSIN N0 5,StopPoint:Node:766290708,100100238:238,12420,Saint-Gratien RER,Bassin n°5,84.66479823739336
25735,StopPoint:59:5121494,100100238:238,12421,PONT DE LEVALLOIS - BECON,BASSIN N0 5,StopPoint:Node:766299125,100100238:238,12421,Pont de Levallois,Bassin n°5,73.58625471971415
25750,StopPoint:59:5157999,100100238:238,42001,SAINT-GRATIEN - RER,EPINAY - ORGEMONT,StopPoint:Node:5585919672,100100238:238,42001,Saint-Gratien RER,Épinay - Orgemont,71.33986816624066
25889,StopPoint:59:7260959,100100253:253,26578,LA COURNEUVE - AUBERVILLIERS RER,LANGEVIN - WALLON,StopPoint:Node:5171665635,100100253:253,26578,La Courneuve - Aubervilliers RER,Saint-Just,333.1711311063591
25895,StopPoint:59:4472714,100100254:254,34123,GARE DE SAINT-DENIS RER,PLACE FITZELIN,StopPoint:Node:5295732534,100100254:254,34123,Gare de Saint-Denis RER,Place Fitzelin,95.58899005013932
25946,StopPoint:59:7069347,100100260:260,427201,SUZANNE LENGLEN,YVES KERMEN,StopPoint:Node:5340349245,100100260:260,427201,Suzanne Lenglen (Paris),Yves Kermen,76.87449956877799
25959,StopPoint:59:7069416,100100260:260,427205,SUZANNE LENGLEN,SUZANNE LENGLEN,StopPoint:Node:5340349278,100100260:260,427205,Suzanne Lenglen (Paris),Suzanne Lenglen,77.45249950932197
25996,StopPoint:59:4016584,100100261:261,40160,BONGARDE,ZONE INDUSTRIELLE NORD,StopPoint:Node:5296341989,100100261:261,40160,Bongarde,Zone Industrielle Nord,84.2491927866578
25997,StopPoint:59:4016584,100100261:261,40160,BONGARDE,ZONE INDUSTRIELLE NORD,StopPoint:Node:5296341989,100100261:261,40160,Bongarde,Zone Industrielle Nord,84.2491927866578
26035,StopPoint:59:5150801,100100261:261,40173,GARE DE FRANCONVILLE,HENRI COLIN,StopPoint:Node:5296341982,100100261:261,40173,Gare de Franconville,Henri Colin,76.34131150437841
26038,StopPoint:59:5150801,100100261:261,40173,SAINT-GRATIEN - RER,HENRI COLIN,StopPoint:Node:5296341982,100100261:261,40173,Saint-Gratien Gare,Henri Colin,76.34131150437841
26067,StopPoint:59:5150820,100100261:261,413185,BONGARDE,GARE DE SANNOIS - MARECHAL FOCH,StopPoint:Node:5296341964,100100261:261,413185,Bongarde,Gare de Sannois - Marechal Foch,109.9967541819747
26111,StopPoint:59:5150853,100100261:261,40176,BONGARDE,AMPERE,StopPoint:Node:5296341984,100100261:261,40176,Bongarde,Ampère,129.00232574914173
26112,StopPoint:59:5150853,100100261:261,40176,BONGARDE,AMPERE,StopPoint:Node:5296341984,100100261:261,40176,Bongarde,Ampère,129.00232574914173
26145,StopPoint:59:4023511,100100262:262,29233,GARE DE MAISONS-LAFFITTE-RER,CHATEAU,StopPoint:Node:5299089623,100100262:262,29233,Gare de Maisons-Lafitte RER,Château,73.93962189803096
26191,StopPoint:59:6741431,100100268:268,413199,SAINT-DENIS - UNIVERSITE,LYCEE DE PIERREFITTE-SUR-SEINE,StopPoint:Node:5272049251,100100268:268,413199,Saint-Denis Université,Lycée de Pierrefitte-sur-Seine,91.21859398846547
