stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:59:6195724,"FELIX FAURE","",48.885922,2.214404,3,,0,StopArea:59:4023974,1
StopPoint:59:6195738,"LES FONTENELLES","",48.885532,2.220074,3,,0,StopArea:59:4023195,1
StopPoint:59:6195747,"CRAIOVA","",48.885327,2.221846,3,,0,StopArea:59:4025365,1
StopPoint:59:6195753,"LES BERGERES - MARCHE","",48.885088,2.225581,3,,0,StopArea:59:6195753,1
StopPoint:59:6195732,"LES BERGERES","",48.88554,2.228714,3,,0,StopArea:59:4024849,1
StopPoint:59:6195736,"LES GRAVIERS","",48.887531,2.233548,3,,0,StopArea:59:4024348,1
StopPoint:59:6195743,"LES BOUVETS","",48.888756,2.236803,3,,0,StopArea:59:6195742,1
StopPoint:59:4024169,"LA DEFENSE-METRO-RER-TRAMWAY","",48.892038,2.239168,3,,0,StopArea:8738221,1
StopPoint:59:6741644,"SAINT-DENIS - UNIVERSITE","",48.946176,2.365175,4,,0,StopArea:59540,1
StopPoint:59:4211758,"GUYNEMER","",48.948308,2.357617,3,,0,StopArea:59783,1
StopPoint:59:6741649,"SUZANNE VALADON","",48.960161,2.35784,4,,0,StopArea:59789,1
StopPoint:59:6741651,"COLLEGE LUCIE AUBRAC","",48.960135,2.351795,4,,0,StopArea:59:6741651,1
StopPoint:59:6741653,"GYMNASE JESSE OWENS","",48.958275,2.349406,3,,0,StopArea:59:6741653,1
StopPoint:59:6741655,"PABLO NERUDA","",48.956829,2.344766,3,,0,StopArea:59898,1
StopPoint:59:7305106,"EDOUARD VAILLANT","",48.960765,2.345503,4,,0,StopArea:59:6783406,1
StopPoint:59:6741657,"VILLETANEUSE - UNIVERSITE","",48.960891,2.342719,4,,0,StopArea:59900,1
StopPoint:59:6741659,"EGLISE DE VILLETANEUSE","",48.963452,2.344071,4,,0,StopArea:59:6741659,1
StopPoint:59:6741661,"CITE GRANDCOING","",48.965402,2.34448,4,,0,StopArea:59:6741661,1
StopPoint:59:6741663,"JEAN MISSOUT","",48.967235,2.344713,4,,0,StopArea:59:6741663,1
StopPoint:59:6741665,"ROBERT FOULON","",48.971108,2.347525,4,,0,StopArea:59:6741665,1
StopPoint:59:6742151,"MAIRIE DE MONTMAGNY","",48.974946,2.345014,4,,0,StopArea:59:6742150,1
StopPoint:59:6742164,"GARE DE DEUIL - MONTMAGNY","",48.975162,2.338352,4,,0,StopArea:8727634,1
StopPoint:59:6741670,"RUE HAUTE","",48.975449,2.332332,4,,0,StopArea:59:6741670,1
StopPoint:59:6741672,"EGLISE DE DEUIL-LA-BARRE","",48.975808,2.325998,4,,0,StopArea:59:6741672,1
StopPoint:59:6741674,"LA POSTE","",48.97366,2.323254,4,,0,StopArea:59:6741674,1
StopPoint:59:6741676,"MARCHE DES MORTEFONTAINES","",48.97188,2.320989,4,,0,StopArea:59:6741252,1
StopPoint:59:6741250,"LE STADE","",48.969463,2.32028,4,,0,StopArea:59:6741249,1
StopPoint:59:6741248,"PLACE DE LA BARRE","",48.967279,2.318001,4,,0,StopArea:8727117,1
StopPoint:59:6741681,"LES COUTURES","",48.970082,2.313332,4,,0,StopArea:59:6741681,1
StopPoint:59:6741683,"GARE D'ENGHIEN-LES-BAINS","",48.972552,2.307747,4,,0,StopArea:8727602,1
StopPoint:59:6741682,"LES COUTURES","",48.969902,2.313223,4,,0,StopArea:59:6741681,1
StopPoint:59:6741680,"PLACE DE LA BARRE","",48.967162,2.317073,4,,0,StopArea:8727117,1
StopPoint:59:6741249,"LE STADE","",48.969005,2.320143,4,,0,StopArea:59:6741249,1
StopPoint:59:6741251,"MARCHE DE DEUIL-LA-BARRE","",48.972016,2.322982,4,,0,StopArea:59:6741251,1
StopPoint:59:6741675,"LA POSTE","",48.974325,2.323964,4,,0,StopArea:59:6741674,1
StopPoint:59:6741673,"EGLISE DE DEUIL-LA-BARRE","",48.975754,2.326803,4,,0,StopArea:59:6741672,1
StopPoint:59:6741671,"RUE HAUTE","",48.975278,2.332591,4,,0,StopArea:59:6741670,1
StopPoint:59:6742149,"GARE DE DEUIL - MONTMAGNY","",48.975162,2.336127,4,,0,StopArea:8727634,1
StopPoint:59:6742150,"MAIRIE DE MONTMAGNY","",48.974272,2.346843,4,,0,StopArea:59:6742150,1
StopPoint:59:6741666,"ROBERT FOULON","",48.971854,2.347812,4,,0,StopArea:59:6741665,1
StopPoint:59:6741664,"JEAN MISSOUT","",48.967595,2.344467,4,,0,StopArea:59:6741663,1
StopPoint:59:6741662,"CITE GRANDCOING","",48.965429,2.344317,4,,0,StopArea:59:6741661,1
StopPoint:59:6741660,"EGLISE DE VILLETANEUSE","",48.963209,2.343866,4,,0,StopArea:59:6741659,1
StopPoint:59:6741658,"VILLETANEUSE - UNIVERSITE","",48.960783,2.34261,4,,0,StopArea:59900,1
StopPoint:59:7305107,"EDOUARD VAILLANT","",48.960738,2.346117,4,,0,StopArea:59:6783406,1
StopPoint:59:6741656,"PABLO NERUDA","",48.956757,2.344479,3,,0,StopArea:59898,1
StopPoint:59:6741654,"GYMNASE JESSE OWENS","",48.958077,2.349542,3,,0,StopArea:59:6741653,1
StopPoint:59:6741652,"COLLEGE LUCIE AUBRAC","",48.960126,2.352982,4,,0,StopArea:59:6741651,1
StopPoint:59:6741650,"SUZANNE VALADON","",48.960053,2.357786,4,,0,StopArea:59789,1
StopPoint:59:4211757,"GUYNEMER","",48.948676,2.357331,3,,0,StopArea:59783,1
StopPoint:59:6748619,"SAINT-DENIS - UNIVERSITE","",48.946015,2.364343,4,,0,StopArea:59540,1
StopPoint:59:3740974,"PORTE DE LA CHAPELLE","",48.898124,2.359519,2,,0,StopArea:59513,1
StopPoint:59:3740976,"CITE FLOREAL","",48.941477,2.387778,3,,0,StopArea:59:3740976,1
StopPoint:59:3972568,"CROIX BLANCHE","",48.946906,2.386692,3,,0,StopArea:59:3972568,1
StopPoint:59:3972570,"LE GLOBE","",48.949324,2.386299,4,,0,StopArea:59:3972570,1
StopPoint:59:3740991,"PIERRE SEMARD","",48.967241,2.391953,4,,0,StopArea:59:3740991,1
StopPoint:59:3740993,"BELLEVUE","",48.969163,2.393361,4,,0,StopArea:59:3740993,1
StopPoint:59:3740995,"PLEIN MIDI","",48.971516,2.395684,4,,0,StopArea:59:3740995,1
StopPoint:59:3740997,"DE GAULLE - MITTERRAND","",48.973564,2.398621,4,,0,StopArea:59:3740997,1
StopPoint:59:3740999,"JEAN-BAPTISTE COROT - LAMARTINE","",48.975965,2.395962,4,,0,StopArea:59:3740999,1
StopPoint:59:5150760,"GARGES - SARCELLES RER","",48.976767,2.390748,4,,0,StopArea:59:4230105,1
StopPoint:59:3741000,"JEAN-BAPTISTE COROT - LAMARTINE","",48.975695,2.396139,4,,0,StopArea:59:3740999,1
StopPoint:59:3740998,"DE GAULLE - MITTERRAND","",48.973465,2.398239,4,,0,StopArea:59:3740997,1
StopPoint:59:3740996,"PLEIN MIDI","",48.971526,2.395397,4,,0,StopArea:59:3740995,1
StopPoint:59:3740994,"BELLEVUE","",48.968957,2.393047,4,,0,StopArea:59:3740993,1
StopPoint:59:3740992,"PIERRE SEMARD","",48.967322,2.391803,4,,0,StopArea:59:3740991,1
StopPoint:59:4035676,"L'AVENIR","",48.96451,2.388661,4,,0,StopArea:59:4035676,1
StopPoint:59:4035678,"LEO LAGRANGE","",48.962481,2.383909,4,,0,StopArea:59:4035678,1
StopPoint:59:4035686,"LE GLOBE","",48.949225,2.385848,4,,0,StopArea:59:3972570,1
