line_id,route_id
Line:Relation:36997,Route:Relation:1103950
Line:Relation:36997,Route:Relation:1103951
Line:Relation:107352,Route:Relation:1103949
Line:Relation:107352,Route:Relation:1103948
Line:Relation:107354,Route:Relation:1103964
Line:Relation:107354,Route:Relation:1103965
Line:Relation:107356,Route:Relation:1104172
Line:Relation:107356,Route:Relation:1104173
Line:Relation:109875,Route:Relation:6578390
Line:Relation:109875,Route:Relation:6323608
Line:Relation:109875,Route:Relation:4118399
Line:Relation:109875,Route:Relation:4117951
Line:Relation:122886,Route:Relation:3014389
Line:Relation:122886,Route:Relation:3012069
Line:Relation:122886,Route:Relation:3023359
Line:Relation:122886,Route:Relation:3027737
Line:Relation:122886,Route:Relation:3049185
Line:Relation:122886,Route:Relation:3049201
Line:Relation:122886,Route:Relation:3046871
Line:Relation:122886,Route:Relation:3047780
Line:Relation:122886,Route:Relation:3019053
Line:Relation:122886,Route:Relation:3019054
Line:Relation:122886,Route:Relation:3007168
Line:Relation:122886,Route:Relation:3007169
Line:Relation:122886,Route:Relation:3019746
Line:Relation:122886,Route:Relation:3006693
Line:Relation:122886,Route:Relation:3006271
Line:Relation:122886,Route:Relation:3006270
Line:Relation:122886,Route:Relation:3007018
Line:Relation:122886,Route:Relation:3007017
Line:Relation:215565,Route:Relation:7306761
Line:Relation:215565,Route:Relation:7306760
Line:Relation:225665,Route:Relation:6012726
Line:Relation:225665,Route:Relation:6012725
Line:Relation:225801,Route:Relation:1484099
Line:Relation:225801,Route:Relation:1484100
Line:Relation:226276,Route:Relation:1246572
Line:Relation:226276,Route:Relation:1246573
Line:Relation:253357,Route:Relation:1621703
Line:Relation:253357,Route:Relation:7306985
Line:Relation:253357,Route:Relation:7306984
Line:Relation:253357,Route:Relation:7306983
Line:Relation:255442,Route:Relation:1257112
Line:Relation:255442,Route:Relation:1257119
Line:Relation:332709,Route:Relation:3256306
Line:Relation:332709,Route:Relation:3256307
Line:Relation:387064,Route:Relation:1250702
Line:Relation:387064,Route:Relation:2640678
Line:Relation:399375,Route:Relation:7425724
Line:Relation:399375,Route:Relation:7425725
Line:Relation:399375,Route:Relation:7235484
Line:Relation:399375,Route:Relation:7235438
Line:Relation:557587,Route:Relation:4067195
Line:Relation:557587,Route:Relation:3327924
Line:Relation:611648,Route:Relation:3309207
Line:Relation:611648,Route:Relation:3309208
Line:Relation:611689,Route:Relation:8122976
Line:Relation:611689,Route:Relation:7918117
Line:Relation:611690,Route:Relation:611202
Line:Relation:611690,Route:Relation:8123066
Line:Relation:901462,Route:Relation:1749963
Line:Relation:901462,Route:Relation:1749962
Line:Relation:937383,Route:Relation:7398767
Line:Relation:937383,Route:Relation:7398766
Line:Relation:937383,Route:Relation:7398765
Line:Relation:937383,Route:Relation:7398763
Line:Relation:937390,Route:Relation:1253892
Line:Relation:937390,Route:Relation:1253900
Line:Relation:937390,Route:Relation:7925363
Line:Relation:937390,Route:Relation:7925362
Line:Relation:949582,Route:Relation:6049087
Line:Relation:949582,Route:Relation:6049086
Line:Relation:949583,Route:Relation:1207846
Line:Relation:949583,Route:Relation:5950847
Line:Relation:949584,Route:Relation:7827569
Line:Relation:949584,Route:Relation:7827568
