,gtfs_stop_id,gtfs_route_id,gtfs_ZDEr_ID_REF_A,gtfs_stop_name,gtfs_stop_lat,gtfs_stop_lon,gtfs_wheelchair_boarding,gtfs_dest_name,gtfs_route_short_name,gtfs_agency_name,osm_network,osm_osm:ref:FR:STIF:ExternalCode_Line,osm_name,osm_code,osm_lat,osm_route_id,osm_line_id,osm_osm:ref:FR:STIF:stop_id,osm_stop_id,osm_osm:ref:FR:STIF,osm_lon,osm_destination,destination_confidence,line_code_confidence,line_code_confidence_rounded,name_confidence,name_confidence_rounded,name_confidence_lower,name_confidence_lower_rounded,distance
9605,StopPoint:46:11499,055055022:DM22,3553,Lt Col. Bizeul,48.671078,2.361239,0,Tuileries,DM22,TRANSPORTS DANIEL MEYER,Daniel Meyer,055055022:DM22,Lt Col. Bizeul,DM22,48.670808799999996,Route:Relation:5998405,Line:Relation:5998406,StopPoint:46:11499,StopPoint:Node:497040887,3553,2.3599742999999997,Tuileries - Grigny,0.6666666666666666,1.0,100.0,1.0,100.0,1.0,100.0,97.84065175872433
9606,StopPoint:46:11499,055055022:DM22,3553,Lt Col. Bizeul,48.671078,2.361239,0,Tuileries,DM22,TRANSPORTS DANIEL MEYER,Daniel Meyer,055055022:DM22,Lt Col. Bizeul,DM22,48.670808799999996,Route:Relation:7824088,Line:Relation:5998406,StopPoint:46:11499,StopPoint:Node:497040887,3553,2.3599742999999997,Tuileries - Grigny,0.6666666666666666,1.0,100.0,1.0,100.0,1.0,100.0,97.84065175872433
9724,StopPoint:46:8879,055155001:DM151,2967,Le Petit Chilly,48.710058,2.297477,,Porte d'Etampes,DM151,TRANSPORTS DANIEL MEYER,Transports Daniel Meyer,055155001:DM151,Le Petit Chilly,DM151,48.708564499999994,Route:Relation:7843960,Line:Relation:7073416,StopPoint:49:53201,StopPoint:Node:5318124781,2967,2.2972788,Arpajon - Porte d'Étampes,0.7,1.0,100.0,1.0,100.0,1.0,100.0,166.72266488715695
9735,StopPoint:46:9950,055155001:DM151,3149,Charles de Gaulle,48.699461,2.297879,,Porte d'Orléans,DM151,TRANSPORTS DANIEL MEYER,Transports Daniel Meyer,055155001:DM151,Charles de Gaulle,DM151,48.699161499999995,Route:Relation:7843961,Line:Relation:7073416,StopPoint:49:50720,StopPoint:Node:5318123172,3149,2.2993102,Paris - Porte d'Orléans,0.7894736842105263,1.0,100.0,1.0,100.0,1.0,100.0,110.49159410090874
9871,StopPoint:2:39,056356015:S,4094,Stade Michaux,48.82015,2.119448,0,Gare de Vaucresson,S,Phébus,Phébus,056356015:S,Stade Michaux,S,48.8209182,Route:Relation:2537731,Line:Relation:2670163,StopPoint:2:39,StopPoint:Node:1807245076,4094,2.1181948,Vaucresson Gare,0.6060606060606061,1.0,100.0,1.0,100.0,1.0,100.0,125.56746298296484
10545,StopPoint:40:20,059440036:36,9578,Fief à Cavan,49.047555,2.008825,,Pontoise Gare,36,STIVO,STIVO,059440036:36,Fief à Caven,36,49.0473031,Route:Relation:7460851,Line:Relation:7460875,StopPoint:40:20,StopPoint:Node:1864378071,9578,2.007936,Pontoise Gare,1.0,1.0,100.0,0.9166666666666666,90.0,0.9166666666666666,90.0,70.76873632263309
10747,StopPoint:40:20,059440039:39,9578,Fief à Cavan,49.047555,2.008825,,St Christ. RER,39,STIVO,STIVO,059440039:39,Fief à Caven,39,49.0473031,Route:Relation:7441246,Line:Relation:7441248,StopPoint:40:20,StopPoint:Node:1864378071,9578,2.007936,St Christ. RER,1.0,1.0,100.0,0.9166666666666666,90.0,0.9166666666666666,90.0,70.76873632263309
10931,StopPoint:40:219,059440044:44,21759,St Christ. RER,49.049915,2.034786,,Préfecture RER,44,STIVO,STIVO,059440044:44,Cergy Saint-Christophe,44,49.050041199999995,Route:Relation:7431039,Line:Relation:7430094,StopPoint:40:219,StopPoint:Node:4901138415,21759,2.0335413,Cergy Préfecture,0.6666666666666666,1.0,100.0,0.3888888888888889,40.0,0.4444444444444444,40.0,92.06185755754382
11026,StopPoint:40:259,059440045:45,8903,Chemin Dupuis,49.036936,2.071737,,Pontoise Gare,45,STIVO,STIVO,059440045:45,Chemin Dupuis,45,49.03642,Route:Relation:7348732,Line:Relation:7346820,StopPoint:40:259,StopPoint:Node:1867242088,8903,2.0708652,Pontoise Gare,1.0,1.0,100.0,1.0,100.0,1.0,100.0,85.7690450581078
11758,StopPoint:31:42,062062012:4,30410,LES TERRASSES,48.419796,2.735182,,LAVOIR AUX CHAPEAUX,4.,Aérial,Aérial,062062012:4,Les Terrasses,4,48.419059999999995,Route:Relation:8411434,Line:Relation:8411436,StopPoint:31:42,StopPoint:Node:5708629266,30410,2.7328425,Lavoir aux Chapeaux,1.0,0.6666666666666666,70.0,0.23076923076923078,20.0,1.0,100.0,191.5323724241991
11761,StopPoint:31:447,062062012:4,30723,CORNING,48.420367,2.736456,,LAVOIR AUX CHAPEAUX,4.,Aérial,Aérial,062062012:4,Corning,4,48.421058099999996,Route:Relation:8411434,Line:Relation:8411436,StopPoint:31:447,StopPoint:Node:4320804149,30723,2.7369542,Lavoir aux Chapeaux,1.0,0.6666666666666666,70.0,0.14285714285714285,10.0,1.0,100.0,85.23838805978339
11792,StopPoint:31:42,062062062:2,30410,LES TERRASSES,48.419796,2.735182,,JACQUES DURAND,2,Aérial,Aérial,062062062:2,Les Terrasses,2,48.419059999999995,Route:Relation:8399986,Line:Relation:8399988,StopPoint:31:42,StopPoint:Node:5708629266,30410,2.7328425,Jacques Durand,1.0,1.0,100.0,0.23076923076923078,20.0,1.0,100.0,191.5323724241991
11881,StopPoint:31:438,062177046:46,15927,ST NICOLAS,48.389787,2.959091,,GARE DE MONTEREAU,46,Seine et Marne Express,Seine-et-Marne Express,062177046:46,Saint-Nicolas,46,48.3899135,Route:Relation:7470548,Line:Relation:6957304,StopPoint:12:3237,StopPoint:Node:3257667325,15927,2.9578772,Gare de Montereau,1.0,1.0,100.0,0.17391304347826086,20.0,0.782608695652174,80.0,90.98959119415927
11899,StopPoint:31:397,062258009:209,411729,RUE DU PORT,48.389241,2.84819,,VERNOU MARANGIS,209,Comète,Comète,062258009:209,Rue du Port,209,48.3868501,Route:Relation:8192421,Line:Relation:7797398,StopPoint:31:397,StopPoint:Node:1497564527,411729,2.8511759,Vernou Marangis,1.0,1.0,100.0,0.36363636363636365,40.0,1.0,100.0,345.8170476870259
11912,StopPoint:31:424,062258009:209,30708,VERNOU LE MONTOIR 2,48.395089,2.853486,,VERNOU MARANGIS,209,Comète,Comète,062258009:209,Vernou Le Montoir 2,209,48.3958984,Route:Relation:8192421,Line:Relation:7797398,StopPoint:31:424,StopPoint:Node:4319969752,30708,2.8535988,Vernou Marangis,1.0,1.0,100.0,0.3684210526315789,40.0,1.0,100.0,90.39046520751792
12045,StopPoint:30:144,064258207:207,33673,Carrefour Cateline,48.354353,2.821275,,Gare Morêt /Veneux-les-Sablons,207,Comète,Comète,064258207:207,Carrefour Cateline,207,48.3552306,Route:Relation:6709457,Line:Relation:7797146,StopPoint:30:144;StopPoint:30:575,StopPoint:Node:4191998338,33673,2.8228533,Gare de Moret Veneux-les-Sablons,0.9032258064516129,1.0,100.0,1.0,100.0,1.0,100.0,152.33337588576063
12047,StopPoint:30:145,064258207:207,33674,Carrefour Cateline,48.354148,2.820949,,Ecole Villemer,207,Comète,Comète,064258207:207,Carrefour Cateline,207,48.3550263,Route:Relation:8099308,Line:Relation:7797146,StopPoint:30:145;StopPoint:30:576,StopPoint:Node:5614550609,33674,2.8221206999999997,École Villemer,0.9285714285714286,1.0,100.0,1.0,100.0,1.0,100.0,130.6871723589165
